,username,comment
56,小白,"椅子是用來坐的
公正?"
57,Yu Jona,這是阿晉開的 我猜測椅子要用這種標題來騙點閱跟留言數 我先卡個位
58,嘿嘿嘿,我這個人很簡單~有TOYZ就給讚!!!
59,yagi you,椅子什麼時候來台南的啊
60,HongMing Zhang,11:05半金藍的手錶...拖椅子也是戴浪琴的半金藍浪鬼嗎? 還是半金藍勞鬼???
61,飯粒,看一看都覺得TOYZ是壓根不喜歡吃雞胸XD
62,點茶,"真的要測別人不能知道是TOYZ去買的吧，
知道別人是TOYZ要開箱要評測的或多或少都會和平常有差吧。"
63,Philips Trevor,"椅子 B.C大哪裡有翻譯一個影片 
有關於 一個即將倒閉的店
經由影片介紹講評
起死回生"
64,豬豬,誰都別想嘴不懂吃的toyz
65,Emily Ku,怎麼辦？我好擔心TOYZ….
66,Beyond H,底下的留言有些真好笑，一個標題都能吵翻天，然後椅子的道歉一直以來都是嘲諷居多竟然還有人當真
67,哈嘍你好,少加了大麻TOYZ當然覺得不夠多汁
68,Eva wang,請問Toyz直播時間
69,あなたのチャンネル,啥時有 のToyz 品牌?
70,Aries,请问toyz你的衣服哪里买得到？灰色的
71,care hu,toyz哥 也太兇 最近都沒在怕了 是不是打算在入去前，把能得罪的才得罪完，讓大家不能忘記你，話說做公益對你的減刑有用嗎？
72,陳阿牙,髒椅子什麼時候進去服刑啊？
73,a9223196190,真的完全想不透 到底為什麼有人會挺toyz 他做的很多事情都很噁心 他心思細膩操作話題真的有腦的人仔細去思考 他洗白的方式 從哭哭臉到瘋瘋癲癲 真的不是自己做錯什麼事情都瘋瘋癲癲的帶過去 其他人做了什麼 就煽風點火 火越大 他就越得意 他這個人真的是瘋了 但突然想到小粉紅跟習皇帝 好像突然覺得也不是不可能沒人挺他
74,郝丸,還想出境啊 囚犯toyz
75,峰蕭蕭兮,詐欺飯
76,仕宏 許,詐欺犯怎麼不回香港
77,nno Sa,toyz不只證明網紅能帶貨，還能帶動爺爺的血壓，太神啦椅子
78,Brian Kao,整部片無意間就看完了 只能說Toyz實力真的強懂得創造話題 口條講話節奏又都超強 真的很厲害實力真的不差
79,李孟諭,"我感覺拾汣茶屋應該很快
不用到今年過完
就會成為台灣數一數二大的手搖杯品牌了～
太強啦Toyz，真的是行銷鬼才！"
