,username,comment
199,盧宗平,"疊價的部分不太理解，TOYZ說品牌方會疊價導致加盟主只能再疊到飲料價格上轉嫁給消費者
可是同品牌的飲料店不管哪一家門市不是都是一樣價格嗎？ 那這樣是要如何轉嫁給消費者？
不太懂...有大神可以解釋嗎？"
200,阿兔阿兔,Toyz加油支持你!!
201,莊誠,"TOYZ我覺得你很有能力，但數學不太好....

最後的那些表格應該用他牌飲料價位比你的自有品牌""貴多少%""會比較客觀
因為你這片所講的一切都是以自己飲料店為主，同樣的以價格來說，應該要以自己所賣的訂價為基準參考點..."
202,邱,"我都懷疑館長是不是跟toyz私底下有合作，每次時間點都剛剛好！館長幫忙推一波就發片，把曝光衝到最頂最滿。
表面上的罵其實是深深愛著他"
203,mark chan,toyz說: 你這對手，我只需要預判了你的走位已足夠，只用了我兩成功力。我很久也沒找到對手，需要預判他的預判。
204,Lee,椅子來竹北開，絕對每天賣1500杯以上
205,HsiuChen Kuo,"椅子哥 賣完都不公告的 
我都大老遠跑去了⋯
明天會再去！"
206,浮沉,toyz 館長最新的直播 我看完後 感覺資本的差距 讓你好像處於下風 開直播反擊吧 讓我們重新重獲信心 再為你出征 大哥 我們等你
207,尚儒,太狠了TOYZ
208,Kaimeila,明明就只是團隊去找TOYZ宣傳，椅子卻要說的好像自己開設的一樣.....這點需要對大眾解釋清楚吧.....
209,空條Q太郎,聽椅子這樣說起來，再睡5分鐘好像賺很多滿黑的
210,Stanley,館粉不要再來亂了 toyz都叫自己粉絲不要去館長那邊亂了
211,ZOZO FUN,超棒的拉 Toyz
212,john1233135,椅子要開建設公司嗎，房市需要你
213,Sheep_Lin,"小劉可以研究披薩店嗎
客戶一直說沒賺錢
卻分店一家一家頂下來
然後一直跟我們殺價"
214,KJF,"椅子好厲害好聰明喔
連五十嵐這些大品牌大企業都是腦B都沒想到
實在""""佩服""""阿"
215,yoyo,椅子本人真的好矮
216,小輝陳,椅子何時來高雄開店，我一定常常光顧消費
217,Samuel Tse,Toyz 真的很強
218,香蕉,toyz加油！！！！
219,Fuiuf Lfgiih,Toyz看茶葉園第一反應以為是哈們園
220,william ling,果然是toyz.... 现代版 （诸葛亮）头脑一流！！！佩服佩服
221,浩 陳,Toyz 加油加油！
222,魏義紘,椅子哥 太神拉
223,楊家浩,怎麼感覺已經看到椅子被踢爆的即視感
224,Mike Lee,我有預感椅子的店以後從北到南都喝的到。
225,Raku Raku,TOYZ 哥!!!，我都係香港人，非常 SUPPORT 你的，你真係好似吳卓羲，不過你靚仔D!!!!!!!!!!!!!!!
226,小翔,"椅子哥，今天特地從新竹上台北要買飲料，結果買不到呀~~
何時要來新竹開分店?"
227,i know i lee,我只能˙給toyz 777了  真的很厲害
228,Tim TU,椅子哥請問這樣薄利多銷的營運模式等人潮熱潮退了不會出問題嗎
229,樹樹,支持椅子
230,Sobe Zhang,椅子什麼時候要賣房子～
231,mehngkun,椅子加油啊！
232,Shaun Hzz,椅子茶飲一炮而紅，三公分館長嫉妒恨呀
233,呂奕珣,價格破壞者  Toyz 雞排一直漲 要不要處理一下
234,乾蝦早安,我們的椅子永遠是賺錢的那個 加盟賠錢不是我的事
235,akuma,詐完人之後做生意很清流對椅子改觀了 然後大戰館長館長也輸爆了
236,黃晨晨,在這邊卡一下 等看看倒了被割韭菜椅子腦粉
237,mao mao,好幾天沒看到椅子了 渾身不對勁  快點出來~
238,張JOJO,這樣擋人財路  小心哦椅子哥
239,黃婷,椅子好讚
240,CF D,"那椅子就很雙標了阿

而且比愛莉莎莎更割韭菜
光是5年不漲價100%賺不到錢

很明顯就是想賺一波加盟金後拍拍屁股進去關然後遣送回香港"
241,小鈺西瓜,"TOYZ  
 為您推薦下檔新品
🫶🫶🫶🫶🫶🫶🫶"
242,武玄o山山,TOYZ要不要簽屬一份 絕不自殺聲明，哪天不見都有可能，希望還能看到你的影片
243,yoyo yoy,"真希望小劉能抨擊一下房市這問題 

支持話幫我推一下謝謝"
244,Remainder years,Toyz 卡布gino一定要有的吧
245,SC Lin,TOYZ讚!
246,社長,椅子哥這波違建問題你一定要撐住 我還沒去排隊買橙汁汗啊草
247,阿威,小劉你有料
248,Yen Yen Hsieh,什麼時候蓋房子Toyz
249,謝宗翰,"日賣1000杯,不是每個點都有這樣的人流,
未來到比較偏僻的縣市營收打對折還可以賺錢嗎?
""品牌""店為何比較貴點又多,似乎有點道理!
再來Toyz行銷好,但是形象真的差到暴,"
250,秦天,椅子哥我想加盟
251,張ZHANG,這部影片確實很說服人 但是你各位加盟主要想想 這個人連好朋友的錢都能騙 跟你們加盟主非親非顧............ 當然我也是相信人能棄惡從善的 讓大家看到椅子變好吧 希望這人別讓大家失望
252,嚮往自由m,TOYZ比胖虎好太多了 還硬要人家叫他師父 笑死
253,TU BS,椅子台中會有嗎
254,KaiJie,椅子哥 你怎麼客串鈴芽之旅
255,Thomas,Toyz被抓進去關後還能待在台灣嗎?
256,aabbc369,水拉椅子
257,chawy,"TOYZ的飲料為什麼這麼好喝？
因為我加了大麻"
258,LBP Lwh,濕鳩茶屋？我覺得toyz係想咁讀
259,Bright 阿光的生活物語,toyz有點內容。光是台風口才已經打趴現在很多屁孩YT了
260,Sky Chou,Toyz 你好 我有個夢想開網咖 但是沒能力 我覺得你可以完成 靠你了!!!!
261,godgod cha,濕鳩茶屋，TOYZ你真的還是很香港，非常濕鳩。
262,鄭宇欽,之前直播我怎麼印象看過椅子說最貴49元 我記錯嗎
263,BJ,toyz直接選總統拉 台灣社會太亂!
264,FLOW,所以這店實際不是toyz本人開的 是那個團隊開的 你只幫忙行銷？
265,陳柚子,那個胖子整天只會消費別人 看看椅子在進步差多了
266,小明 廖,"館長跟toyz選邊站 統神選你耶
https://m.youtube.com/watch?v=qtRvuCzRxEI 32分30秒左右"
267,jochife huange,"啊怎麼刪影片了 還想大事化小歐 
詐欺犯"
268,游燁,先是大麻，然後詐欺，再來背信，現在又跟違建扯上邊，就算公司負責人、地契不是你，也是又騙了粉絲一波，韭菜真好吃
269,TIM L,請問Toyz什麼時候要進去蹲
270,morgan JH,詐欺犯就詐欺犯 講那麼多
271,Ronnie W,"希望全家也找椅子聯名一下

出一款美食公道伯系列的商品"
272,台南第一深情,別怕椅子你現在是開無敵的，合併執行
273,哇哩勒,"看到九面要聯名就知道又要薛一波人氣了
這個價格跟廣告就直接不會想試
我們感謝椅子來踩給大家看"
274,布魯,前幾天看完影片馬上買來吃 我深深感受到丁特遇上橘子的感覺 椅子也很中肯的代替消費者描述消費後的心得 而且我認為相符度體感是100%
275,KAZE,"這集真的是...
椅子甭怕甭擔心~
彼此都是公眾人物.都是可受公評之事
感覺椅子 說話技巧...進步囉~"
276,食客玩家,其實椅子講得沒錯啊～找九妹代言，然後把他的代言費都加到我們消費者身上，真的有一種買到虧到的感覺。我本身是長期吃便利商店的一般上班族。平常就是買一個便當然後再配個飲料可能在買個飯糰之類的～誰管他是誰代言啊！我只管好不好吃 口味是什麼而已好嗎 ==
277,啊凱,太佩服了太中肯，人類需要你啊椅子哥
278,小企鵝,雖然感覺的到椅子微帶火藥味，但就是缺你這種真話公道伯，越真越支持(敢說真話的人不多了
279,蘇忠平,只有Toyz敢講真話！！讚～
280,Tyson Chen,"傳說中一集得罪一個網紅的男人
我就知道椅子的開箱永遠不會讓我失望"
281,Binpee餅皮,難得toyz吃到大家都可以輕易嘗試到的料理，我也親自嘗試過，更加相信toyz在頻道說的話十之八九都是實話，我吃了奢華海鮮丼也是感覺沒什麼特別的，東西都跟普通7-11的差不多，可能好吃一點，但貴了很多，完全不值（我個人也是joeman粉絲 絕對沒有偏袒誰
282,AK,期待椅子聯名一個平價又吃的到你所說的不失望的商品~~~
283,Lumi To,椅子哥真的好敢講耶，還叫大家不要買 XD
284,Hong David,有無敵星星的椅子從不讓人失望 讚!
285,Chih-Jen Cheng,好希望Toyz去跟超商合作一下！想吃看看美食公道伯的超商美食口味～～
286,Rumble,全世界也就Toyz這麼敢講，我真的太愛你
287,阿凱談天說地(阿凱公民覺醒紀錄),"感謝椅子幫我們省錢
沒有必要嚐鮮了"
288,Blumen Han,竟然可以逼出Toyz的美食公道伯系列，九妹狠角色www
289,YT W,"9man超記仇的
不愧是椅子超敢講XD"
290,Sohary,希望椅子可以也聯名一下，做出可以對得起消費者的東西
291,L K,"前幾天去711想買個便當 卻無意間看到jeoman的商品 想說好奇試看看 卻發現錢袋不夠 就沒買了 

但看完TOYZ的開箱覺得老天爺眷顧"
292,CHIENYU LIN,感謝椅子把我內心話說出來，真的就是吃一次後就永遠不會再買的商品
293,Loki,"只有Toyz 能超越Toyz
YouTube法院王
我的超人"
294,Beyond H,"給推，這部仍不愧對美食公道伯的招牌，有去實際吃過幾次就知道口味就如同椅子評論的那樣：

抹茶超難喝當屬所有品項最爛；烏龍麵最像樣，說得上好吃。"
295,盧宗平,"照燒雞飯糰真的取名很誤導，而且TOYZ說的很中肯，海鮮飯糰是真的期待落差感很重，完全不想再回購
照燒雞三明治個人覺得是所有品項裡最好吃，而雞蛋的部分嘛....7-11所有的三明治都有類似情況，所以不意外"
296,Ellie Liu,謝謝toyz 以後要常光顧你的頻道
297,腿腿,期待Joeman開箱椅子的飲料店
298,Moon,"椅子已經比以前還含蓄了哈哈
但其實跟711其他品項比起來味道好很多"
299,luuu Luu,"Toyz真的評價中肯，我第一次買照燒雞拌飯咬下去的感覺就是
這三小，雞在哪裡
回家看九面影片才知道原來那只是拌飯飯糰
名字真的可以取清楚一點，有被騙到的感覺"
300,Jay Lo,希望椅子能跟全家聯名，打敗7-12
301,DS,謝謝椅子為廣大消費群眾發聲！
302,蔡YA,感謝TOYZ直接幫我排雷了，不用被JOEMAN抽成到
303,Owen Smart,即便沒有這部影片的出現，我也不會買，還好沒有踩雷！謝謝Toyz說真話！
304,ChillHighHigh,"剛吃完奢華海鮮丼跟8倍蛋
覺得海鮮丼還不如鮭魚卵飯糰
然後8倍蛋跟看Joman 影片的蛋量差很多 小劉影片裡的蛋包飯的蛋量才是真實狀況
結論 ：被盤了一波（乾"
305,627 James Wang,我以為椅子會拿飯糰來做蹦粥，不過椅子進去的時候可以會客多帶幾個分給同學蹦
306,黎曦,"椅子太爆幹實在，不過開頭別直接說臭別人比較好
DDDD
草莓大福全家完勝小7
4:42 看到翻三明治蛋沙拉那邊真的笑死"
307,Emilia C,很期待 Toyz 也出個商品讓大家嚐嚐鮮，也讓其他 Youtuber 評價看看，相信一定美味又實惠。
308,展望未來,椅子哥還會做到讓客人來試喝產品(壓力測試)，9面人就是少這一步  不應該這樣欺騙消費者 真的很可悲。
309,張Q,"Toyz作為反正義英雄的角色非常的OK阿~牛逼
用YTber的身分幫觀眾講出一些心裡話，優質"
310,陳偉航,椅子沒有葉佩的時候真的超級公正敢講真話
311,洪芷芸,如果九面真的告他的話 其實是變相承認椅子說的事實吧 九面也是一般消費者 很清楚自己代言的商品確實就是椅子說的那樣
312,賽羚羊,期待椅子跟超商聯名 一定買爆
313,YT預言家,"吃完之後…再看這部影片
我真的太挺你了偷椅子"
314,鄔薩薩,講真話是給商品建議調整的空間 應該不是真的要戰 支持椅子哥
315,HSIANG,"就種就是我想看的開箱
鼓勵四大便利商店的產品企書能來找TOYZ，只要他出的代言商品，於情於理於公於私於愛於恨，一定有一堆網紅來開箱，某方面算是一種潛在廣告"
316,MAGIC LIN,感謝toyz 讓我連嚐鮮的錢都省了
317,莊誠,另外期待TOYZ新開幕的飲料店能帶給小弟大驚喜!! 期待中...
318,Queeny Fung,"雖然我覺得joeman很多影片都很好看 製作團隊也很厲害
但是這波我站Toyz

有些joe粉或者中立撚或者椅黑首先要記得一個大前提："
319,Pingu,我買的那顆飯糰倒是很多鮭魚卵，但干貝蝦子連渣都沒看到，我買這顆飯糰的主因就是想試看看干貝在711飯糰裡會是什麼感覺，結果變成鮭魚卵飯糰，看到椅子的飯糰我覺得應該是配料不均勻的太離譜，幹我的59塊啊啊啊啊啊啊啊。另外那個抹茶個人覺得太甜，完全喝不出來我在喝什麼，喝不懂，謝謝再聯絡。
320,帆哥,椅子真的是老百姓的救世主
321,Avicii,"超愛椅子有一說一
以前只愛吃7-11鮮食
看到網評一直說全家越來越厲害
去吃過發現"
322,陳小茗,我訂閱的youtuber也有幫忙工商，看過就很想買爆還好先看到這集椅子幫忙踩雷，少花了冤枉錢
323,YTJ,對toyz來說便利商店食物應該都是答辯
324,Andy,提醒一下 關於Toyz說現沖的抹茶拿鐵的部分，連鎖便利商店咖啡機的奶不是一般鮮奶，都是奶粉調和的
325,Joseph Chang,"我只吃過他們八倍蛋，但實際吃起來真的完全就是跟Toyz說的一樣，番茄醬出了很大的問題。真的很不明顯。建議另外自己再加上番茄醬後會比較好。
而八倍….可惜沒有一般版的可以比較8倍的差異，看起來很多蛋，但會發現炒飯的是堆疊成山形，所以看起來很多….很滿"
326,veg,toyz講的很中肯真的頗難吃
327,1年10班 賴寶玉,感謝椅子試車 讓我們不會踩雷
328,johnnyer,"對拿鐵的評價跟我們家觀感完全一樣... 不如買現泡或是再睡五分鐘的還比較好
期待JOEMAN開箱椅子的飲料店臭回來XD"
329,蒂兒,就等椅子這集 太喜歡你了
330,騎士米,"蛋只有3/1….有點慘
草莓大福沒有草莓….
類似廖老大一樣的商標
椅子各種爆擊！"
331,Lil Lun,YT圈不怕得罪，敢開箱Joeman系列出來公審的我相信只有toyz了
332,三星的人別聽慢歌,"又是一波流量 椅子超人 我的流量人

這樣看完影片後跟我實際在超商認真看成分說明一樣
草莓大福只賣35  本來想買 想說可能是平價或是奢華中 比較平價的選擇"
333,Black Jack,看完joeman本人自己的開箱 和toyz的開箱 確實有落差
334,要邏輯有肌肉,狂!椅子 joe是不會讓人失望!
335,微酸冰奶茶,第一次看Toyz的影片，覺得評論還蠻中肯的，也不會有什麼特意要攻擊、帶風向的感覺，就事論事，從一般民眾的角度去看
336,IOA X,"昨天剛好買了8倍蛋包飯(用OPENPOINT1點+99元兌換) , 
個人吃起來和TOYZ敘述的幾乎一樣, 很無聊的口味,
醬料跟蛋太淡無法跟包著的米飯很MATCH ,反倒是星宇航空出的雞腿丼飯個人比較喜歡"
337,菜鳥廚師阿杰,"久違的公道伯回來了~~

btw現在看到toyz的臉都會想到上次跟香菱泡湯的事情XDD"
338,小鈺西瓜,"7-11： Toyz嘛！我們有個合作  
 叫合併執行
Toyz：我真的原地嚇到欸！"
339,莊誠,其實說真的我也是JOMAN的粉絲，還好TOYZ有幫忙開箱，不然我這個連假一定會有滿滿的失落感...QQ
340,程子欣,只有椅子的影片可以全看完不快轉
341,Jason Yin,椅子還想拖攝影師下水，還好聰明閃避掉了
342,Bob Chang,昨天才開直播 這部片也剪太快 不愧是椅子 跟緊時事 知道大家要的是甚麼
343,wanchun chen,小劉答應我們永遠不要在食品上用臉當logo 
344,Derek Kwan,目前吃過其中2款，Toyz講得蠻中肯
345,柏軒 黃,能待在椅子身邊的人也是蠻強的
346,秋水浮萍,"看來～偉大的椅子哥替大家受罪了！
讓大家免於受雷～！
果然是身懷無敵、語不驚人死不休！"
347,水戸ノ助,"兩天前也吃過全品項了(除了照燒雞拌飯),基本上對食物的評價跟toyz差不多,哈哈哈"
348,宇楓SpaceMaple,我本來也不是討厭JOEMAN的人 我甚至是他的觀眾 但這次這個真的讓我覺得挺賭爛的 很多就是原本有的商品 變相加價賣 而且還比以前還要差 比如照燒雞糖心蛋三明治我以前常常吃 很好吃 料也算蠻多的 結果我這幾天去買現在這個聯名59$的 變貴也就算了 裡面的料也跟TOYZ開的一樣超他媽少 .... 有夠不爽
349,陳威,希望Toyz有空在內湖可以來文德吃吃看「我還有點餓」店名
350,Alan,我昨天吃過歐姆蛋，我覺得椅子說的沒錯，他如果番茄醬在淡一點，我應該會覺得很爛，現在這個味道真的也勉強而已，不過我沒看價錢，今天看這影片才知道109元，那真的是有點貴，如果這樣我還比較推吃小七的打拋豬、綠咖哩還比較好吃，我印象牛肉麵也不錯．．．
351,樺Hana,"我就是那個買信仰的
剩草莓大福沒吃過
真的就是像Toyz講得這樣
不過奢華飯糰的魚卵片我有驚艷到啦"
352,神崎BEST 生活.家電,看完之後....感謝椅子花錢替我們試吃
353,9021006,希望joeman 可以開箱toyz 的飲料商品.
354,放川良,拖椅子吃狗食都覺得不差，九面的商品大概比狗食難吃
355,陳大天,"感謝椅子哥開箱,原本想買,看完就不想買了"
356,JJ B,可以問一下為什麼有部分留言說椅子現在是無敵星星狀態？
357,CC H,觀眾就是希望聽真話，Toyz....不作假
358,派女星,椅子標準太高了
359,林冠宇,抹茶拿鐵 剛看完就去買 真的我喝一口就丟了 太真實了toyz
360,溝鱷,"剛才特地去買，花了我將近1000
結果只能說...不會有第二次了就跟toyz說的一樣
大概就只有死粉買了會覺得好吃而已..."
361,bung Bung,"看來TOYZ在排往後拳賽名單
持續增加中"
362,雨傘,會不會改天換 Joeman開箱 Toyz飲料店  又或者提告呢 ->下部影片揭曉
363,三丐沒事,"以前因為Toyz犯罪變椅黑
經過這一集正式回歸椅粉"
364,oomakitw,"去年沒聽toyz的評價去吃板橋大遠百的""添好運"".....吃完覺得toyz的評價已經很保守了....我個人不會再去吃第二次..."
365,1L N,椅子跟阿滴蘋蘋開箱的東西一樣嗎，怎麼兩個講的完全不一樣
366,水噹噹,"吃個東西整天厚度厚度的煩死，吃和牛厚度，吃牛舌厚度，現在吃個便利商店也在厚度
椅子這集無條件給讚"
367,Miles,我猜那個小圈圈又開tg 靠北椅子了哈哈哈哈哈哈
368,Tommy,椅子總是不會讓我失望
369,靳閔傑,看完覺得椅子真的是有一說一     沒理由特意去臭    就真的看完影片自己也不會想去買...
370,yoer,"照燒雞飯糰 
應該去消費者基金會或法院告他詐欺了!!!
""醬"" 拌飯 卻寫照燒G"
371,滷蛋黃酥,"推薦toyz 去全家買一顆草莓大福來吃
保證有草莓"
372,廢片法師梅師姐,Toyz講的太含蓄了，應該直接表明口感極不佳，避免消費者踩雷。
373,K Kao,"椅子的評價很中肯
但提出的問題基本上
所有便利商店食物都有的
跟484九妹商品沒什麼關係了"
374,拉進來打出去,就是長相問題！卻只有你敢提到，椅子人，我的超人
375,Bob Chang,椅子的飲料店要上市了 還敢這樣處處招惹網紅 respect
376,holdiit3 must,感謝幫忙，感謝幫忙，期待椅子吃館長的便當
377,大神一馬,"Joeman 下一期
平價律師 對上 奢華律師 feat.Toyz"
378,Mike,"我挺toyz
根本拿我們當盤子"
379,Yuuki Konno,感謝Toyz，裡頭的垃圾我一樣都不會買
380,honk chou,看到那張臉就pass了，感謝toyz評測
381,Resilienza,阿滴也太挺了 還是toyz中肯
382,幽默的巴黎人,"網紅原來就是這樣騙錢的上架當天就買了奢華御飯糰跟蛋包飯。整個就是難吃，飯吃了一口就「飽」了還說產品都是精心挑選過的⋯⋯
期待改天有機會DISS一下TOYZ的飲料店"
383,L Candy,美食我只相信拖椅子，跟千千(他們都是有說一)不怕得罪人
384,阿信彈唱,這才是我最愛的椅子
385,哥哥,欸 toyz 我認真覺得你很猛
386,Jia Hao Ye,感謝椅子幫踩雷 看了真的有夠爛 哈哈哈哈
387,Cactus,Joeman前幾集才提到Toyz! 你是不是在報仇哈哈哈哈
388,榮光精神病院班尼,阿滴.蘋彭：TOYZ你怎麼真的撕破臉
389,。。眼,反正都合併執行，現在的椅子是無敵的
390,Martin CHEN,謝謝椅子🫡
391,Chun-yi Lin,椅子說好吃的都是重口味的食物
392,teaterhøgskole Statens,Toyz回來了
393,Jane MI,好急喔，椅子哥，馬上拍部片想臭。
394,Howard,唯一信仰 拖椅子
395,xuan _zn,TOYZ:欸?有網紅跟711聯名耶 幹我好忌妒哦 不行我得不到我也要把他搞下台 我就是這麼賤
396,Heero Yuy,"光那個草莓大福就夠詐欺, 只有草莓醬是怎樣...."
397,Olivia Z Lin,你看久妹那身材就知道他很好喂了，還是看椅子實在
398,林BB,"4:21小劉出來惹事了！
九面：等一下 聽我解釋 蛋荒 我也很無奈啊！
反串別高潮"
399,阿修羅漢,"唉..... 很多影片一堆測評都很假, 只有TOYZ才是真公道, 事實上就是又貴又難吃, 一堆假鬼假怪的測評,  
吃的時侯內心早就幹翻了, OS : 這樣的份量與口味,  你他麻之要賣那麼貴! 只能用天龍人的表面與夾子音, 苦笑著說: 我覺得還可以耶, 不錯呀~"
400,朴彩英,Toyz下次麥克風收音可以調大聲一點嗎 有點小聲
401,正宜陳,椅子也有職業傷害啊？胖了不少
402,web web,Toyz跟JOMAN評側的區別就是 Toyz比較敢講真的不好的點  JOMAN則是完全不敢說壞話 絲毫一點點都不敢
403,唐家欣,Toyz我的超人 先訂閱
404,遊玩一生,托椅子
405,DB Q,為甚麼 偷椅子 不用當兵  不用坐牢
406,YURI Sakazaki,Toyz 館長正在直播用髒話罵你的名字
407,楊茂璿,完蛋toyz 的包手我覺得不好看
408,楊宇軒,"草莓大福沒草莓消基會不用罰嗎
詐欺了吧"
409,花月嵐,"九麵至少有新意敢出 雖然味道不怎樣
不服你也能來出  麻椅上訴飲料 炒麵
還要用大吸管來訴
裡面沒有大麻 沒有螞蟻 沒有椅子"
410,CT,吃不起米其林，吃得起小7吧？大家去吃吃看，再對比Toyz講的話，就知道484同路人了，對吧？
411,FENG AARON,哈哈 看詐欺犯因為一個三明治的蛋在那假崩潰好好笑
412,小麥,Toyz的標準，奢華海鮮丼59元，鮭魚卵應該要59顆？
413,Asuka,笑死。一堆人在那邊捧椅子，叫椅子聯名啊
414,Zhi,認為 Toyz要刻意酸Joeman...
415,陳小王,toyz講的就是真話，現在的商品能對消費著佔便宜一定坑到底，銷量下降就用名人網紅去洗無腦跟風的消費著，講真的消費著能買單消費著自己也要想想
416,Catoro,覺得能起死回生不只是 Toyz 自己的人生經歷和心理很強，這些員工也占了很重要的角色，佩服 Toyz，也佩服這些員工相信他和不服輸的精神，新年快樂
417,Abbott Brr,"不愧是經歷過人生低潮才講得出來的話
椅子哥真的有料 身為老闆完全懂你說的
Respect"
418,吳祖霖,小劉 越來越有料 會客菜感覺可以自己弄了
419,愛喲我的媽,我是從椅子出事之後開始追的，一開始是看著難得有YTR出事可以吃瓜看戲的心態來看看，但是後來發現這個YTR對所有事情的處理態度與方式，公關危機處理都能以一個會讓你想繼續了解下去的題材在看，真不愧是流量鬼才，這是我按下訂閱鍵內覺得CP值最高的一個YTR，不追怎行
420,劉廷.,Toyz 真的是一個很聰明的人 邏輯很強在思考的也非常深入且廣泛 回答的這些問題若沒在事先就曾有過類似的設想的話 還能吐出如此據有內涵的言論真的很有料
421,長佑池酒,"小劉真的很會講話
就算開課程也比那個誰好多了"
422,Cheng,終身老椅粉來了 祝小劉可以一直保持內心的理想 活的快樂精彩
423,R B,這部影片應該讓很多喜歡toyz的人 相信自己沒有看錯人
424,Takamori,"小劉人生是真的比一般人精彩很多
蠻多觀點聽的挺有感觸的
太多人喜歡站在道德制高點來""客觀""看事情了
比起來 小劉行事作風 比較像真的""人心"""
425,北投許光漢,"Toyz
不管遇到再糟糕的事，都選擇面對 這句話聽很多人說過，但聽你說還有自己最近的遭遇真的覺得很有感，新年快樂愛你愛你"
426,Yuuuching,"雖不是老粉 但對椅子走過這些覺得很不容易 好多觀念真的好值得我們一看再看 
憂鬱症那邊我竟然流眼淚了 
謝謝你拍片分享 這集拍的好棒 "
427,kl.,"I love you Toyz, this is wise and inspiring to watch, I thought I was a smart person, but I’m not, struggling, your words save me and give me a whole new picture, you’re not a saint, but good enough and kind, thank you, you will always get my support"
428,珛玥,"Toyz 這集講的太棒了 滿滿的正能量 
支持你請繼續加油！"
429,阿葦Awei,"椅子哥加油～
椅子哥講的真的很好、很正面
希望椅子哥以及大家都新年快樂 順順利利"
430,情侶日常 Kgs&Pounds,Toyz加油 睇住你一步步變好真係好開心
431,J,撇去那些不對、不好的事，其實Toyz也只是一個，努力追求自己變得更好的人，期待你變得更好，不要重蹈覆轍
432,何玗倫,謝謝Toyz，追了你好久，能成為你的粉絲是最棒ㄉ一件事
433,救急試念觀世音,toyz對朋友的定義就是，有過深度的交流，互相輸出過，彼此獲得過對方的什麼，才算朋友
434,Ada&Winnie channel,每次看完椅子的直播或是影片都獲得一定的啟發，感謝椅子所有的影片
435,LO,太頂了椅子 心中永遠的中路野獸
436,pig Yolo,"謝謝小劉 本人在19歲出頭的時候發生嚴重車禍 今年21歲 顱內出血以外右手腕骨折左大腿粉碎性骨折顏面多處骨折額竇開放性骨折 
現在也還在憂鬱症的水坑裡面 看到有你可以描述憂鬱症以及給出方法真的很棒
周遭的親友真的不懂我心裡到底想要的是甚麼 我也不敢去表述我真正想要的 我懂這些怪不得他們 但我還是會無法控制的宣洩"
437,我的學習筆記,"TOYZ真的很猛
人才中的人才~
很難想像如何走到這步的"
438,arias minato,"想法接近的人真的會互相吸引

以前看lol、遊戲什麼的都沒什麼關注
也是在椅子被抓開始吃瓜的人"
439,Group6-Alan傅子宸,超愛椅子不管打遊戲還是美食評論都很喜歡，聽完椅子講完感覺有讓現在的我有點方向感了
440,YK C,"自從出獄後我以為TOYZ的影片會一直喪下去 (美食公道伯系列除外) , 沒想到會出現這類影片.
另外蒸蛋的話, 我是覺得用蝦米比蝦仁更好吃 ."
441,BEN Zheng,椅子哥這集有料，新年快樂
442,石在人,小劉真的會煮欸!!!有料
443,arthur king,這集椅子讓我們學到很多 當他的粉絲好幸福
444,剎阿,Toyz 加油 希望你可以越來越好
445,Rocky,超喜歡TOYZ對朋友的定義這段，我也超認同!!
446,WEITE,"有貓就給讚
真的太搶眼了
椅子加油"
447,派大星的好朋友,小劉2023新年快樂 ️一切越來越好！
448,浣熊,"這影片的人生經驗分享能說是乾貨了，尤其在講憂鬱症那邊XD真的很屌，憂鬱症是最討厭別人的強迫跟心靈雞湯，

椅子領悟的東西是我過好多年，跟著心理師學習才理解的，尤其是那個無力感，其實就是認知的改變，想法終究是想法，大家都只能活在當下，要怎麼設想未來都可以，往好的往壞的。"
449,Ｍｓ．🌙ｅｎ,台灣的朋友們 沒有啦 香港人沒有只愛吃醬油啦 。 雖然工商不是李錦記但我想告訴大家 李錦記有一款料包 叫醬爆牛仔骨 我覺得好好吃 打開加熱拌飯 沒胃口的時候加這個真的很舒服。覺得toyz說的錢 權 名 ，我覺得好難過 我也覺得 認真的是為這個而生的嗎。我是一個很上進的人 但是 現在的我 只希望我老了時間要到的時候 沒有病痛不用臥床 可以自然死亡，如果有一天toyz可以咀嚼到這句話 我相信你會更加理解快樂的定義。愛你喔
450,樂 謝,加油椅子 那些殺不死我們的，必使我們更強大。
451,丁文凱,謝謝小劉介紹，蒸煮袋很適合我租屋處欸，因為只有兩台微波爐可以用。
452,nk ta,"我也是不服輸，對自己的人生來說。我只能說有時候活著比死了還痛苦 但是因為堅定自己會有所成長 做人方面一定可以再多學習  
多理解他人 也要反省自己的缺點
人生沒有污點的人 人生一定沒有那麼精彩 經歷過黑暗的人才能更上一層樓 椅子是我欣賞的人 因為遇到問題了 在鏡頭上也敢表現真實的東西 這很少人做的到 你很棒 加油"
453,musenliu,新年快樂 兔年繼續支持椅子
454,呂紫魚,"以前是椅粉 到Grex的時候都是
一直都覺得有自己想法 夢想 跟目標的人 很帥氣

但中間從轉戰YT後的椅子"
455,Mingshran Chen,"椅子真是個很有魅力的人~  希特勒也是~ 沒有人能打敗我~ 除了我自己。
可惜的是跟丁特與史丹利的關係吧~ 親手把單純的友誼摧毀了~這是比較多人覺得扼腕的..."
456,Boyan Liu,出事以後的椅子變得更棒了
457,阿羽,"館長絕對會後悔自己失去跟椅子合作的機會
我身為廠商端
椅子的工商方式真的比大多網紅強多了
很多網紅的工商方式"
458,阿澤,椅子哥新年快樂
459,徐郁翔,小劉 下次可以讓員工品嘗一下監獄料理的味道嗎
