username,comment
@sasa-gx8br,"其實我真的覺得Toyz可以利用AI換臉換聲
在獄中有很多時間想劇本
利用換臉和大家見面
觀眾可以用書信反饋"
@祈求放晴,加油toyz！
@宋梓豪-b7s,永支toyz
@Caleb_Tsui,等椅子哥回歸
@澤倫斯基-x6g,Toyz 你好嗎 今天中捷 出現怪客 有人被捅了 
@Ac-kb1up,謝謝你小劉，等你出來再戰江湖
@yuyu54088,對應電影的話 希望椅子之後真的能在離開監獄（棺材）後做掉超哥那種+9靠爸咖才是真的幫大家除害
@冠宇-f5w,Toyz保重 每天看一次直到你回歸
@宇智波永生,想你了toyz 現在的yt好無聊
@garhe1026,椅子 你連進去都可以發這種讓我又哭又笑的影片，希望你早日回歸 !
@澤倫斯基-x6g,"Toyz你好嗎 想你了

今天 賴清德就職了 幹～"
@lalaland9527,"自己的流量自己搶先做，完全不給別人蹭
珍重再見啊鬼才椅子"
@harry6110123,真不愧是你，還得是你，流量鬼才Toyz 
@hashgameing,再見了Toyz我們懷念他
@Hana_C1119,"沒有椅子的第三天啊啊啊啊啊啊
原來有囤片日子不會太難過了
沒有人可以精準掌握我的笑點除了你：（"
@wanrita1571,就是欣賞不管做錯什麼事 跌多大的跤 都能勇敢面對 勇敢承擔 的椅子
@jimmy1way111,身為S2跟到現在的鐵粉真的希望賴清德可以特赦Toyz
@cola8916,等椅子回來~謝謝蹦闆
@WesleyNg1101,"服完刑
就是一張新造的椅子"
@chisato5253,出來後會繼續支持你的 加油椅子!!
@陳陳立軻,"有椅子有讚，謝謝妳帶來的一切
等你出來"
@ggezpcpls2418,支持toyz
@JMY801,支持椅子 兩年很快的，等你出來我估計都還沒換新iphone呢！
@BelvaIyo,請問，那時Toyz會出來，想看他玩英雄聯盟🥹
@j26627805,椅子加油 流量鬼才 會再見的！！
@輸真慘-i7p,椅子犯錯 但至少伏法了 超派呢？仗著自己有權有勢 現在還去越南玩
@bughyde,toyz珍重，期待你的重生，一定更耀眼！
@Alex-xl2jk,3年後 再見toyz  回憶流量鬼才
@20591james,椅子加油 期待打爆超哥這咖
@Draymond23Curry30,我以為結尾Toyz會突然抬頭說 超派!!!
