username,comment
,"看到影片出現在我的首頁
差點嚇死啦
水牛城的部分確實如Toyz所說真的是台灣口味不是美式那種特酸特辣的感覺
其餘的部分我們會在討論改進
感謝如此中立的論點
說出我們的缺點啦
最後
謝謝品子的弓箭（欸"
@tofujing,此時此刻oh!mama跟TOYZ都不在了
@cocat4693,"老實說我認為給出需要改良的地方這部分椅子做的很好
現在幾乎網路上試吃他們的店都是滿滿的好評"
@chelai7246,我們家是買雞肉生鮮食品產業的我必須說 Toyz吃的也些很柴或很乾的肉質大部分都是採用進口雞肉（成本較低）因為退冰過所以水分流失肉也相對沒那麼軟嫩也會比較柴 我自己吃過週末炸雞 吃的出來他們的肉都是用本土生鮮雞肉非常新鮮而且醃料也很有特色 也較新鮮 但是就是貴了一點但是以現在本土雞肉的價格跟成本我認為還算合理的範圍內
@jackviewland,說真的，椅子哥進行評比十分有理，優點缺點都說得很詳細，如果是真心為了自己的產品好，這些建議確實是值得參考的。
@文-d1k,6:47看看人家台中網紅做出來的炸雞，7:30、11:56還有對於中肯椅子的評比做出幽默的回應。超哥啊超哥，你要不要自己看一下啊？誰比較有情商？誰比較懂民眾、觀眾、電競選手的心思？人家椅子表面上是在臭你，但另外一方面不也是在幫你做行銷嗎？負面又怎麼了？好歹其他人看到椅子的影片也會有想嘗試的心態，可你看到椅子的美食公道影片後做出的回應是如何？是很擔心別人不知道你有在混是不是？唉！只能說真的是天空與泥巴的差別。之前其實我還蠻喜歡看超哥的影片的，但現在，我既不會再觀看你的影片，更不會成為你的粉絲了。最後啊。超派～🫵
@blumenhan6939,怎麼感覺比起艾莉莎莎，椅子比較適合開課，每次都是流量保證w
@user-bv7sj2qn3k,我覺得toyz很厲害的點是 對自己的感覺很尊重很公正 所以呢 可以面對很多評價跟實際有可能有落差的東西做出大膽的評論 也可以避免自己被不合理剝削 其實是一個很厲害的生存能力 也很具有可看點及個人特色
@高田清美-z4e,TOYZ 你說話很真材實料。 不怕得罪人。 我喜歡你說話。 不然都會說假話明明不好吃因為是朋友開的店要說好吃
@義楓,"覺得以後Toyz可以配氣泡水
這樣試每個味道都不會被影響"
@bbbppp53,"卡一個想看椅子評測全台最頂「館長便當」,,,"
@Yu-Rou,椅子真的很適合當評測員耶
@啊賓-g5i,感覺這次有公道呀椅子，只要不是開箱素食餐廳，我都相信椅子還是懂吃的，素食還是交給平常天天只吃草的去評測比較公道，一般人根本接受不了那清淡
@RU486mm,"有一說一  
雖然椅子人品道德確實有點問題
但是是市面上唯一敢說東西不好吃的
例如九妹不管吃什麼永遠都只說還不錯
難怪跟7-11合作會被出征 
確實不懂吃"
@beyondh7292,底下的留言有些真好笑，一個標題都能吵翻天，然後椅子的道歉一直以來都是嘲諷居多竟然還有人當真
@gkfuh9382,TOYZ喊在~泥在直播中突然被消失真的很擔心泥~~~!!
@acho6465,8:12 我怎感覺有點雞蛋裡挑骨頭 哈哈  最後總結是 椅子不喜歡吃胸 胸不是 1 就是 0 不然就-10 笑死
@BELTRACCHI-kq2xr,推薦Toyz板橋有一家“御品炸雞粉圓”可以試試
@張瀞云-d1d,很少看到椅子這麼溫柔
@Ternence1,椅子你應該去試試看KLG台北松山店 薯條跟炸雞絕對不會讓你失望 價格實在東西超讚
@梁子晏,椅子進去了 傷心
@tinawang8519,"Toyz的評價很公道~不愧為公道伯之名,以後館長便當開賣一定要買來評價看看!!不要讓人被薛"
@kchen8295,其實看久了發現椅子如果再瘦一點下來的話，就是一個帥哥。五官非常端正。眼睛也很大，口條很清晰呢
@YanXiLiu815,"阿晉的店 賤葆肯定有投資阿  留言區到底在堅持什麼啦...
TOYZ飲料店佔股也不是最大阿  大家還不是說是他開的XD"
@apple60130,椅子什麼時候來台南的啊
