username,comment
@godtone7414,"深度QA的時間軸提供給各位

01:55 覺得自己快樂嗎
05:23 請分享一下段朋友的定義
 有什麼是一直堅持的原則
 怎麼排解負面輿論的
 合適跟喜歡哪一個重要
 這一生追求的是什麼
  才18歲就憂鬱症有救嗎
 怎麼提起勇氣面對過去

難得看到小劉講這麼深，你的人生比起99.99%的人都要精彩，我也是看著你一步一步走出來的
最後想跟大家說新年快樂以外，館長是腦麻"
@pigyolo4629,"謝謝小劉 本人在19歲出頭的時候發生嚴重車禍 今年21歲 顱內出血以外右手腕骨折左大腿粉碎性骨折顏面多處骨折額竇開放性骨折 
現在也還在憂鬱症的水坑裡面 看到有你可以描述憂鬱症以及給出方法真的很棒
周遭的親友真的不懂我心裡到底想要的是甚麼 我也不敢去表述我真正想要的 我懂這些怪不得他們 但我還是會無法控制的宣洩
希望有更多人能去理解憂鬱症患者吧 畢竟並不是所有人都不願治療 而是我真的找不出有那條路是我可以走的 在無助的同時還只能無限循環於自卑跟煩悶"
@不想留底,toyz對朋友的定義就是，有過深度的交流，互相輸出過，彼此獲得過對方的什麼，才算朋友
@81108steve,"不愧是經歷過人生低潮才講得出來的話
椅子哥真的有料 身為老闆完全懂你說的
Respect"
@catoro.,覺得能起死回生不只是 Toyz 自己的人生經歷和心理很強，這些員工也占了很重要的角色，佩服 Toyz，也佩服這些員工相信他和不服輸的精神，新年快樂
@Group-Alan,超愛椅子不管打遊戲還是美食評論都很喜歡，聽完椅子講完感覺有讓現在的我有點方向感了
@cheng7879,終身老椅粉來了 祝小劉可以一直保持內心的理想 活的快樂精彩
@Pika_Chiu,"館長絕對會後悔自己失去跟椅子合作的機會
我身為廠商端
椅子的工商方式真的比大多網紅強多了
很多網紅的工商方式
就只是在整部影片中
只硬性置入一小段1-2分鐘的廣告畫面
他們認為 流量有了
這就是負責任的工商 
實際上 觀眾會直接跳掉那段
當然 椅子這個工商還是有很多可以改進的地方
只是 這樣的工商方式
足以讓館長後悔 
自己放棄和椅子合作"
@吳祖霖-w3v,小劉 越來越有料 會客菜感覺可以自己弄了
@nkta1205,"我也是不服輸，對自己的人生來說。我只能說有時候活著比死了還痛苦 但是因為堅定自己會有所成長 做人方面一定可以再多學習  
多理解他人 也要反省自己的缺點
人生沒有污點的人 人生一定沒有那麼精彩 經歷過黑暗的人才能更上一層樓 椅子是我欣賞的人 因為遇到問題了 在鏡頭上也敢表現真實的東西 這很少人做的到 你很棒 加油"
@MotoRaymond666,我是從椅子出事之後開始追的，一開始是看著難得有YTR出事可以吃瓜看戲的心態來看看，但是後來發現這個YTR對所有事情的處理態度與方式，公關危機處理都能以一個會讓你想繼續了解下去的題材在看，真不愧是流量鬼才，這是我按下訂閱鍵內覺得CP值最高的一個YTR，不追怎行
@benzheng3748,椅子哥這集有料，新年快樂
@rb4199,這部影片應該讓很多喜歡toyz的人 相信自己沒有看錯人
@90kgsand90pounds,Toyz加油 睇住你一步步變好真係好開心
@user-zg8ze6kf1c,台灣的朋友們 沒有啦 香港人沒有只愛吃醬油啦 。 雖然工商不是李錦記但我想告訴大家 李錦記有一款料包 叫醬爆牛仔骨 我覺得好好吃 打開加熱拌飯 沒胃口的時候加這個真的很舒服。覺得toyz說的錢 權 名 ，我覺得好難過 我也覺得 認真的是為這個而生的嗎。我是一個很上進的人 但是 現在的我 只希望我老了時間要到的時候 沒有病痛不用臥床 可以自然死亡，如果有一天toyz可以咀嚼到這句話 我相信你會更加理解快樂的定義。愛你喔
@zy8608,Toyz 真的是一個很聰明的人 邏輯很強在思考的也非常深入且廣泛 回答的這些問題若沒在事先就曾有過類似的設想的話 還能吐出如此據有內涵的言論真的很有料
@HeavenlyKen1215,謝謝小劉介紹，蒸煮袋很適合我租屋處欸，因為只有兩台微波爐可以用。
@剎阿,Toyz 加油 希望你可以越來越好
@shuiyue-Ahri,"Toyz 這集講的太棒了 滿滿的正能量 
支持你請繼續加油！"
@awei5233,"椅子哥加油～
椅子哥講的真的很好、很正面
希望椅子哥以及大家都新年快樂 順順利利"
@Rock_foodie6823,小劉真的會煮欸!!!有料
@ykc6412,"自從出獄後我以為TOYZ的影片會一直喪下去 (美食公道伯系列除外) , 沒想到會出現這類影片.
另外蒸蛋的話, 我是覺得用蝦米比蝦仁更好吃 ."
@北投許光漢,"Toyz
不管遇到再糟糕的事，都選擇面對 這句話聽很多人說過，但聽你說還有自己最近的遭遇真的覺得很有感，新年快樂愛你愛你"
@lun.401,謝謝Toyz，追了你好久，能成為你的粉絲是最棒ㄉ一件事
@北七低能,很棒的人生觀 難關過關關過 最鐵的椅粉 祝椅子哥順利 新年快樂
