username,comment
@yuuuching8576,"雖不是老粉 但對椅子走過這些覺得很不容易 好多觀念真的好值得我們一看再看 
憂鬱症那邊我竟然流眼淚了 
謝謝你拍片分享 這集拍的好棒 "
@adawinniechannel8191,每次看完椅子的直播或是影片都獲得一定的啟發，感謝椅子所有的影片
@stevencjlee,"椅子 
活的通透"
@mynotebooks,"TOYZ真的很猛
人才中的人才~
很難想像如何走到這步的"
@jimmy1way111,"老粉簽到
我大椅子邏輯口才根本屌打99%的yt"
@一隻滷雞腿,椅子哥 昨天直播沒跟到 怎沒辦法看了
@arthurking8746,這集椅子讓我們學到很多 當他的粉絲好幸福
@Alex-qg5dk,TOYZ加油!
@camila6544,之前只看過一些Toyz 的新聞片段，對他的印象真的沒有很好。最近看了蠻多直播跟影片覺得其實Toyz感覺蠻單純的 很聰明邏輯也很好，而且換髮型後變帥了！（以前有一些看起來年紀很大）
@Rocky-vn6mg,超喜歡TOYZ對朋友的定義這段，我也超認同!!
@brandonchien456,小劉原地加油ㄝ
@a0933892583,小劉2023新年快樂 ️一切越來越好！
@weite345,"有貓就給讚
真的太搶眼了
椅子加油"
@boyanliu4940,出事以後的椅子變得更棒了
@kai_1122,椅子哥新年快樂
@樂謝-t1h,加油椅子 那些殺不死我們的，必使我們更強大。
@banksz2004,toyz的三觀跟我一樣 尤其是朋友方面
@踢歐歪力的女朋友,椅子新年快樂我永遠愛你
@lupurplefish,"以前是椅粉 到Grex的時候都是
一直都覺得有自己想法 夢想 跟目標的人 很帥氣

但中間從轉戰YT後的椅子
變得不是我欣賞的樣子後
再到之後出事
都覺得很惋惜
也都會跟身邊朋友說
我不是椅粉了 剩下丹利粉

但最近的影片有了以前的影子
就像你說的
人總是想從中學到什麼
最近影片有讓我停下來思考些什麼

椅子哥 加油～"
@JESSICA-LIU,撇去那些不對、不好的事，其實Toyz也只是一個，努力追求自己變得更好的人，期待你變得更好，不要重蹈覆轍
@harry8103k,"I love you Toyz, this is wise and inspiring to watch, I thought I was a smart person, but I’m not, struggling, your words save me and give me a whole new picture, you’re not a saint, but good enough and kind, thank you, you will always get my support"
@Long_AND_Lasting,"小劉真的很會講話
就算開課程也比那個誰好多了"
@esn_-yi8nu,新年快樂啊，椅子
@Zhchng421,椅子加油
@takamori382,"小劉人生是真的比一般人精彩很多
蠻多觀點聽的挺有感觸的
太多人喜歡站在道德制高點來""客觀""看事情了
比起來 小劉行事作風 比較像真的""人心"""
@給斯特,你說的是感覺是小說裡再講的真我，小劉何時要教導大家修仙？
@DDAsTdddd,小劉 下次可以讓員工品嘗一下監獄料理的味道嗎
@LoveStarShow,TOYZ棒棒喔~
@ariasminato8280,"想法接近的人真的會互相吸引

以前看lol、遊戲什麼的都沒什麼關注
也是在椅子被抓開始吃瓜的人
世上偽君子也真的很多，其中更是喜歡多踩別人幾腳的那種
加油阿椅子~"
@LO-kl9sq,太頂了椅子 心中永遠的中路野獸
@ccl9465,想看Toyz來推薦在雙北裡，他吃完覺得道地的港式茶餐廳
@xty0577,愛死椅子
@bai2787,"最近我也怕我黑化
總之希望你能永遠是小劉
加油
最後！遠離館腸，肌肉腦是沒救的"
@楊梅康師傅,椅子哥有興趣合作嗎
@如月-y3d,想問椅子跟筱崎炫還有聯絡嗎
@freeicelove,新年快樂 兔年繼續支持椅子
@tziyeh3768,椅子加油
@間黑男-c6r,椅子 新年快樂
@lukwong6379,"互相輸出 當是我就想歪了
抱歉了 bY小劉"
@chiochan8056,大家為甚叫Toyz做椅子？
@mingshranchen8241,"椅子真是個很有魅力的人~  希特勒也是~ 沒有人能打敗我~ 除了我自己。
可惜的是跟丁特與史丹利的關係吧~ 親手把單純的友誼摧毀了~這是比較多人覺得扼腕的..."
@小青-x4p,那個...有人也覺得toyz蠻帥的嗎？
@jacksonhitt6005,我購物車放799元商品也有輸入你的折扣碼，但有75元運費，沒有免運。小劉可以解答一下嗎？
@許名偉-r9o,椅子 還有人炸你 來跟我說 我來處理
@迟缓儿统z,這套尾牙套餐名字叫詐欺欸嗎
