username,comment
@nancychen7261,"這段影片我完整的看完了
連快轉都沒按
真的是想你了
雖然是我是後期
才開始看你影片的
但自從知道你要進去
還是會覺得難過
看到你啜泣的時候
心情也沉重了起來
你說的對 
人生短短數十年
身邊能有個能信任的人
是很幸福 很難能可貴的事情
想要給你加油打氣
我們大家都會等你回來
加油喔 Toyz"
@tchorzysz2796,"希望來看的觀眾在唏噓之餘也要引以為戒。
感謝椅子一直帶來的娛樂，還有出事後一直的正反饋；雖然不知道你有沒有一瞬間撐不下去，但是很謝謝你到現在都還在"
@95LdTW,我相信對toyz來說，他需要的不是有人替他辯護或解釋，而是有人看到他的成長以及改變
@wowsnaking,"我當過監所替代役   裡面真的蠻無聊  就待在小房間裡跟大家一起吃喝拉撒。洗澡也是房間內的水龍頭。房間內有學長學弟制。吃飯用塑膠臉盆。吃完洗碗打掃。睡覺很擠也只能睡靠近馬桶。一天三支煙。
以椅子的知名度，應該很快一堆人靠上來"
@hao-yb7xw,先撇除Toyz人品如何，但論才能來說是鬼才無誤，看得出來腦筋動很快的人，但真的做了一件非常不好的事情
@駿G,"進去還能輸出,還得是你椅子哥,不愧是COS過辛吉德的人:永遠都跟不上你的速度,也沒有人跟的上"
@AnthonyLai120,沒想到Toyz進去前也有拍一段自白，兩年後再見
@STAR_WARS9,Toyz加油！
@AlexanderLin-lg7od,真的超想念椅子 到現在還是會一直重播直播來配飯 流量鬼才大家都等你出來繼續你的流量王座！
@消息一則我是翊澤,沒事，時空背景不同而已，在我的思維世界，不就是失誤一次罷了，沒想到後果的失策，我的世界目前只遇到椅子這個邏輯對手而已，你很棒。
@L20-j1b,小劉你的努力和自省大家都有看到，我們等你回來
@kuzaayu8752,"椅子犯錯了沒關係   反省後再好好重新開始
希望在裡面能真的好好思考自己人生目前活的是不是你真的想活的樣子
加油~~等你出來"
@一直爽一直贏,我只承認椅子這個流量王者
@jackyu0920,我看到想哭了，我最近幾個月也是遇到大低潮（雖然不至於到需要關，但可能會遇到司法問題，就算沒有也需要出一大筆錢），但看到這部影片又得到了力量，真的謝謝你Toyz
@NMSL7414,椅子哥想你了 別哭別哭 人在關鍵的時候總會犯點錯誤 結束後 懺悔後 改正過來 處理好就好 大家都在等你回來 你是最屌的
@dex_pc,"想你了椅子哥從沒想到會從椅黑變椅粉
從你被羈押禁見+勒戒出來後的見獵心喜心態 到後面戒不掉你的精華一部接一部看（你的毒沒有解藥）你的精華也曾經幫我度過情傷 甚至你的影片還是出現在我演算法上
但你畢竟還是做錯事 所以該面對的還是要好好面對
希望你兩年後還是會繼續開台 拾汣茶屋我也喝了不少
如果唐伯超或爺爺有進去陪你的話希望你不要對他們太客氣"
@softbank170,椅子哥，希望你也能放下那最終傷害了你自身的執著，不要再辜負原本可以一起走一輩子的朋友了⋯
@yiyi225,"真的好想你啊Toyz!
相信你會把自己調整好
期待出來以後的你更強！我們等你"
@BB-if9zb,"看了很感動 , 其實Toyz心地很善良 , 希望你順利假釋出獄!! 加油"
@amazing1891,小劉，你不在的時候館長沒有剋星，很囂張的哦
@goldtimesya,"TOYZ這段自白，還是那句老話，早知如此、何必當初？但至少你的經歷與反省，這一兩年來有看到的就會對你改觀。

阿！你也不用想太多，生命自有出路，出來之後好好補回來就好了。犯錯了，接受處罰，面對未來。"
@rebj-q4j,這幾個月，館長被燒，超哥的店又倒了幾家，還有統神蹦闆拳上，少了椅子的直播，真的少了很多快樂...
@NozzleKid_DWF912,椅子哥加油！
@ken99883,"太強了 進去半年 
流量還比一堆線上的還高
很多人想把椅子趕出台灣
但這人天生就是吃yt這行飯的
這幾年沒有他 真的好無聊啊

唯一最愛他的應該是峰哥了"
