username,comment
@Elison_0528,"一面牆，真的可以隔絕很多東西。
我因為工作的關係，有時候要到監獄探監跟送會客菜，其實我算是能一部分理解你所說的「生離死別」那種感覺。
每次等會客梯次，我最受不了的就是看到年過半百的老人家，拿著大包小包的菜或是日用品到櫃檯說著「我要看我兒子」、「可是我不知道我兒子幾號」、「我不會寫捏，你可以幫我寫嗎？」，每次看到這個畫面我的心就會酸酸的。
有時候我會想，如果哪一天我也犯了案子進去蹲了，我的家人是不是也是這樣子？這麼的無依無靠、這麼的為我擔心？

人吶！就是要經歷一些事情才會更完整。
當初種下的因，現在就要食這個果。但是這個果未必不好，凡事皆有一體兩面，刑期只是一個因果關係的代價，真正的含義才是最值得引人深思的。

曾經的Toyz可能風光無限，哇靠世界冠軍欸！賺了好多錢欸！但是內心是空洞的、不飽滿的。
現在的劉偉健可能懊悔、徬徨，但是褪去那些不必要的光環後，他開始懂得思考所謂「行動的背後更深層的思維邏輯」。
一個高功能反社會人格的人，開始有了一點共感的能力，不覺得是一件還不錯的事情嗎？
當然，我並不鼓勵犯罪。

「上天只會安排給你能克服的試煉」

一樣那句話，我會過的好好的，希望劉偉健也好好的，我們還會再次相遇。

我等你。"
@Mark-lv7le,"真狠特地挑進去後的一段時間發出來，讓熱度重新炒起來！
不愧是你啊策劃鬼才TOYZ"
@kenken2915,Toyz公道伯評論真的準，鈔派的店都快倒光了，每個品牌我也吃過一次，至於獎老牛肉麵不知道是不是也是不敢認的關系企業，也是不怎麼樣
@小韭菜-h1i,19茶屋員工路過！支持老闆，椅子哥加油！
@SGxian0919,這麼多年了，也可以說是一直很欣賞你，好多年前你拿下世界大賽的時候，記得你跟胖子有辦一場Toyz&Stanley 的粉絲見面會在北平東路的咖啡廳，那時候排了好幾個小時的隊就為了見你一面簽名合照，算是我這輩子第一次追星一直到現在30幾歲了小孩都出來了。當下還跟你聊了很多，那時候你整個人很陽光，很正向，誰也不會想到，這麼多年後會發生這些，雖然你在羈押的時候我也是在北所羈押，報紙上看到這件事。現在只能希望你能做到你所說的，等你回來一切都會更好，你再爛也陪伴過我的青春，祝福你，永遠的世界冠軍！中路的野獸，刑安，祝早日馬回。
@甜瓜-y6d,感覺你成熟又穩重許多也有所成長！真的聽懂你想表達的意念。加油～熬過去，就是全新型態的TOYZ！祝你的店生意興隆，跟粉絲的連結又更深一層
@STAR_WARS9,Toyz的影片竟然能配晚餐吃
@浮生-x7m,還記得2013/8/4，Toyz跟Stanley離開TPA的粉絲見面會，我跟我朋友當天從早上排隊到天黑，見到你的那一刻我忍不住叫了出來，當時給你們簽名的手機殼到現在也還留著，見證了你從電競冠軍變成電競小丑直到現在的監獄公道伯，十幾年來真的心中充滿感慨。
@小馬欸,"我願稱toyz是有史以來YT第一人 
當大家感覺快忘了你 就有PO文有限動 
現在可好了 連影片都有了 
真的是太厲害了 太狠了"
@drumstick_brother,Toyz 真的很頂  不論發生了什麼事 總會讓人想要繼續看下去 加油
@FreakFrog8010,Toyz，你其實就是個人才，有才華的！別管他人眼光，做自己就對了，對了，最喜歡以前看你介紹美食公道伯了，希望未來還會看到你介紹美食喔，加油
@1122334403,"希望椅子在裡面過得好
雖然未來變數還很多
但我期待你再出現在幕前的一天
你真的是我唯一喜歡的主播
期待火鍋店開幕
領飲料配火鍋一起吃
加油椅子哥"
@saintbang,"太猛了吧椅子
進去了還在發片不愧是流量鬼才"
@宗阿-n5i,大家最喜歡這種改邪歸正的戲碼了，雖然椅子算是亦正亦邪，但依然是那成為傳說的流量之鬼，佩服
@bravoe71580,"看著看著我也哭了
好想你啊Toyz🥹
少了你的影片下飯
我的人生就像缺了一塊拼圖
加油Toyz"
