username,comment
@myyup328,評論滿中肯的，我買過兩次共五個便當，都為脆皮燒肉，第一次的燒肉部位很好肉也完整，配上隨附的唐辛子真的美味，第二次則是碎肉較多偏乾，附的一片香腸確實平淡，但整體配菜鹹度油度是有健康的感覺，飯上的魯肉也如toyz所說微微的多餘，口感偏向鬍鬚張，但愛吃的我傾向保留，我去熱炒店一定也是點白飯才能突顯菜色的精華，我是會1-2週回購一次的想法，只是路程還是有點距離，最近看Toyz被打著實覺得可憐，也許打著公道的招牌，但也不是無敵，每人認知不同，安全為上...
@星之祈禱,"回頭再看這篇一次，TOYZ的評論永遠都是這麼中肯
現在新聞也爆出來了，超派使用塑膠盆製作醋飯，蝦土豆去買海鮮丼的時候當場拍到，證明TOYZ是對的"
@小葵-z6v,"酥70%脆30%真的是一個很了解美食的主播才能說出這樣的形容
酥跟脆本質上真的有很大的差別
以燒肉來講 烤到變酥的 已經失去他脆皮燒肉應該要的體現 烤到酥會像吃餅乾而不是燒臘那種二爆的脆皮豬的口感
真心覺得Toyz的美食評鑑很厲害"
@葉中賢-y1w,"我來釐清幾個點說明為何館長沒有打toyz
首先
1.沒有倒廢油渣
2.店裡面沒有賣醋飯
3.沒有強迫要請客
4.沒有當面問他要他評一下餐點
5.身旁都是不會動手的文明人"
@尤淑君-i4g,就愛聽Toyz的公道發表.既使旁邊有壓力在.還是有啥說啥.讚.保持下去永遠支持你
@b9810136,看完超派來看這個。toyz把便當說的很好吃
@qqxian4826,歡迎美食公道伯強勢回歸 TOYZ真正的不死鳥
@florapan2156,"最近很愛看Toyz的影片
然後忍不住留一下：超派～"
@easonwang8758,美食公道伯強勢回歸，TOYZ，你真的很神，屹立不搖，加油!!!
@Yooooooooo878,"2:51 不愧是椅子 現在就埋下了伏筆 牛逼
True飯好吃"
@Shinnosuk,終於上片了 椅子原地復活
@提斯藍,這是我看過最公正最和善也最不做作的toyz了…感覺很讚啊！不走痞子風感覺人就很上道
@Elison_0528,小劉復活啦
@arthurking8746,我們想看直播啊 小劉 再不播就糖了
@陳西瓜-j9w,很久就期待椅子來評價全臺最頂的餐盒了
@XiaXiaTW,好愛Toyz~~~期待有機會巧遇~~
@hhgold537,有感受到店主相關人員在旁邊，toyz 會講的比較尖銳
@牆角康納,照之前跟館長吵架的那個情境，我覺得TOYZ這個影片真的算得上是公正公平公開，主觀的看法跟客觀的看法都有提供，也沒有無謂的批評。讚!
@winds055007,"椅子如果沒跟爺爺吵架 爺爺應該能賺的更多
不得不說 椅子的宣傳真的很強"
@TheJakey6688,這邊說一句Toyz不是地道臺灣人可能不懂那個情懷！我覺得大部分土生土長的台灣人都很喜歡吃滷肉飯打底的便當 前提是要好吃的
@allenchen9260,椅子身體保重，期待你直播
@KK-qy6uv,我本人吃過燒肉便當 想法跟toyz一樣 滷肉跟汁可以不用 單純配白飯會好一點
@raylei228,"今天剛買一家叫  有利脆皮豬的....
180的便當配到的脆皮燒肉就比我單買(外送平台上訂價240)的量差不多，甚至還感覺少一點點!!
館長給的量算是很強大了~~

TOYZ影片果然還是自帶魅力光環XD~"
@EpicPandaEAWR,"身為管粉 然後 也是 美食公道伯的粉絲來說

toyz 已經很給面子了 因為 連我看到那個肥肉 我一定噴歪 (抱歉館長 因為我自己對烤肉 要求也非常高)"
@MichaelTsang1203,希望椅子可以情緒好一點就可以啦
@ttau1081,"館長應該要回敬一下椅子
來道

麻椅上訴 吧！"
@蘇育明,8/31我11點來買了燒肉「餐盒」回家打開發現滷蛋半顆 燒肉量明顯比椅子的少耶 是不是臨時漲價了？不過滷肉飯和燒肉本身確實是好吃的 （有照片
@yibang4865,"小劉終於回來啦～～
好久沒點名啦～～～"
@user-qazxswedcvfr,我不是正在前往法院，就是正在被架著往健身房的路上 - - by Toyz
@elijahyang7401,館長可以考慮推健康餐盒 但不知道成本會不會又太高 還是其實和Toyz講的一樣 這就是策略哈哈
@arsen4425,看樣子脆皮燒肉+拾九茶屋是最好選擇了，恭喜TOYZ回歸
@生活小去世,靠北，toyz真的是奇才，每次都會用想不到的方式去做節目，明明大家都是拍一樣的東西，卻是能脫穎而出
@user-wuwuwuwuwuwu,我相信椅子美食公道伯很公道，期待兩年後復出，加油
@GNNLA,"Toyz太幫了吧 
最頂的那種"
@IvanWang-y6p,椅子哥可以來草屯開拾玖茶屋嗎
@水樹-v2y,最貴的雞腿便當的雞腿 外觀看起來就不好吃!!但經過TOYZ的描述 我會想吃這種重口味的雞腿，所以外觀需要加強才能吸引人購買!!而滷肉看起來感覺很好吃 只是這個價格的滷肉分量好像給的不夠多。
@安明進-w2e,恭喜Toyz回歸
@danfeng7256,椅子哥是進去進修了嗎怎麼最近都沒開台
@kenisabadguy,"幹這不是平常的TOYZ, 絕對有噴子在現場!!!"
@AnthonyLai120,Toyz一陣子沒直播看，總算有公審便當影片看，不然我也快忘記這頻道，快開直播
@walterliu2776,"Toyz
2023 True飯難吃
2024 醋飯難吃"
@elvisboy178,"我也認同椅子的意見，
份量可以在更少一些，
那成本可以在下降一點。"
@小敏-v7s,"說真的toyz跟館長吵過之後
我對館長反而印象變好了
覺得後面爺爺表現的挺可愛的"
@承融張,很收斂欸小劉
@dragon6615,椅子要乖乖的，早點出來唷
@k1000456,"TOYZ如果真的有那麼勇 這麼帶種,就應該邀請史丹利 丁特,你們三個人一起到館長的總部親自試吃館長的便當,並當面講給館長聽.
TOYZ也拿橙芝汗給史丹利 丁特 館長讓他們三個人試喝!!!
這企劃才叫直截了當 直言無諱 直搗黃龍啊~~~"
@chenchichi12,"很中肯 燒肉套餐 又配上滷肉飯有點太多 
其他不談價格 椅子這次點評也給好評了
價格對上班族來說太貴了啦，沒有粉絲濾鏡、一個月領3、4萬的人，省著吃的人，這價格可以吃1.5餐了 "
@陳廷-o7f,椅子真的很含蓄 很給面子了 都是便宜肉菜和米和餐具 卻訂價這麼貴 今天根本是收斂版本後的美食公道伯評論了
@yayawu5330,"我林口住民，看完介紹與價格，寧可去吃蔡家排骨，便宜好吃，俗擱大碗，地方大坐位多，有冷氣吹，可以選配菜，還無限供湯！
蔡家排骨的炸雞腿飯算是我常吃的店！完全不會想外帶館長的便當！
椅子最近跟館長和好了？"
@趙煦,Toyz終於回歸了耶，好想你喔
@MrIce52024,狗椅子就是流浪鬼才，嘴巴好會
@陳鈞豪-c8k,我想問Toyz到底覺得什麼是好吃的
@楊大大田,椅子哥，你好像被民進黨利用了
@yggydd206,200台幣這個份量這種新鮮程度超有良心啦！ 同level 香港至少賣68hkd啦！有點不明懂toyz為什麼那麼挑剔
@Wuu777,還以為椅子進去了 原來在吃便當R
@ORZ_5978,"看來拖椅子會擔心被館長揍
醋飯其實噴得有大力一點"
@anthonywang7022,小劉如果你被威脅的話就舔一下嘴唇
@alcomc,Toyz 你要是被狹持了就眨眼睛三下，我馬上就幫你報警！
@mic88uk,toyz你手抖的有点厉害 注意身体啊
@衝仔-w9x,"看完超派鐵拳之後
想看椅子吃3公分之拳"
@fuetyf,Toyz 難得好好說話加油
@777kyz7,還以為有機會看toyz與館長二番戰
@肝指數超標,"可能是小宇有在旁邊看吧
椅子這次真的說得很客氣了 ㄏㄏ
脆皮燒肉就算了
我還是不懂為什麼一個香腸便當可以賣到150"
@jokerc0728,想念椅子被演算法帶回來
@hialin618,拳上準備館長vs椅子嗎 期待
@HuMosGee,Toyz 應該在館長便當(餐盒)店，旁邊開一家拾汣茶屋了吧
@檸檬-e5e,嚴重懷疑椅子是故意被發現的
@abcd24501,恭喜椅子回歸
@白豐瑋-t5z,"TOYZ 
在不出來變成觀眾都在憂鬱了"
@鄭宇航-d1y,@Toyz你標題打錯了 是餐盒不是便當
@LAiiDavID,不知道為什麼 感覺這集toyz特別短
@tomclus3821,我最欣賞的就是TOYZ噴人的口才，這集的介紹如此含蓄，害我忍不住跳出來留言~不要有所顧慮~~『醒著不是在法院，就是在前往法院的路上』，已經是你的人設~~希望不要崩壞了~莫忘初衷
@yms2170,"我也買過一家燒肉便當 
切出來的肉也是整塊肥的
好奇的試著吃了一口 當下反應也是跟椅子一樣想吐
後來肥肉挑掉 硬著頭皮吃完便當"
@senpaibunnygirl8569,椅子的手看起來抖得好嚴重 是不是爺爺在旁邊看著他吃
@wesleytsai4286,這不是我認識的Toyz....太保守了吧
@Kkk-m4v7k,"不得不說 看完反而想吃爺爺的便當 
看吃完會不會跟椅子一樣帥 
不要一樣矮就好"
@鈞楊-m8w,突然想看椅子去吃吃到飽
@張人帥-z5f,先不管便當了 為什麼椅子買的到衣服 超難搶的
@xie7276,這集瘋不起來 不是我認識的toyz
@chrislin4761,我最喜歡看到椅子跟人打架，沒見血就不想看了
@Taiwannumber-one,讚嘆TOYZ，就實話實說發揮很棒
@gulalakao9081,椅子怎麼跟爺爺示好了~~ 不像你
@edmundfu1454,椅子哥 我到時候一定給你送菜
@a0926884961,難得看到椅子有口難言 笑死 google評論有夠低..
@Kamfms7,拖椅子手怎麼抖成這樣?!
@fatsheep1022,椅子不會用筷子
@gn5194,椅子等你回來
@雞蛋-u8h,請問為什麼椅子哥的手一直抖
@信文張,TOYZ  的評論  很保守   這種價格就粉絲買單   沒啥好說
@ARODGOOD,椅子有一點我非常同意，燒肉比較油的這種配白飯比配滷肉飯好
@tsun1015wy,Toyz  去廟裡走一走
@diosu7767,跟女友去吃你吃過的今大滷肉飯 特別有感覺 滿滿的toyz味道 多拍些 才能跟著吃
@vivianhsu8987,說真的Toyz 你要不做美食YT還真沒人看。
@XionTain,是Toyz又怎樣不是他又怎樣？犯罪之人有什麼好追捧的？？？
@洪維憲-i1u,"燒肉大多肥肉很不ok, 吃過回買率一定低, 不過Toyz評價算公正"
@Richpush2121,一天不搞，渾身發癢啊！椅子哥
@bourdonl0k,食個便當都可以百幾萬view toyz都真係嬴哂
@安明進-w2e,我怎麼感覺椅子是被押來吃~(抽煙 甲檳榔 翹腳 玩手遊) 四大天王為首的小宇在旁邊看~
@lynn85124,椅子🥹
@wilson01131,Toyz把我的想法講出來了，我也覺得滷肉很多餘，我自己買便當有滷肉的我也都叫店家不要給我加
@monzoo0829,Toyz飲料店好像沒有聽到很誇張的負評
@全民來543,館長生意做那麼大  ~ 又開便當店~ 為何可以領輔助900萬~很多生意不好的~生活困苦的~繳不起房貸的~怎沒這種輔助可以領~~椅子為何不評論這事
@raka9998,TOYZ怎不公審一下自家的拾玖茶屋
@吉樂S,比阿伯還真就是 Toyz
@文仁林-x3o,阿館之前不是説椅子飲料店沒️成功的案例就開放加盟現在糙️ㄧ樣沒️成功案例就開放加盟阿館就不敢哭爸連叫都不敢叫還敢說自己作生意最老實我看是最不要臉⋯⋯
