username,comment
@andreway4458,真的希望Toyz能好好珍惜小7，能有這位女生輔助你不是理所當然，真的不要辜負一個在你落難時還跟你同甘共苦的女生。
@asd5588996,果然是節目的老主持人，一出場氣場就是不一樣，主持功力在線，效果也滿滿，口條清晰真的猛== 而且很義氣相挺 多少人想跟椅子切斷關係啊..
@mr.2184,其實偷椅子真的很有才，希望他出來後可以再帶給大家歡樂。
@Zihencello,椅子的面子真大，可以讓乃哥親臨，太牛批了！在深造期間必須要跟獄卒打好關係，才能跟九妹合體，拍攝監獄對決
@Dexter_motor,"有Toyz的用心, 堅持和巧思在裡面 那就是會很有意義的一間店, 當然也感謝篠崎泫 一路以來的努力 只能說有機會一定會去台中光顧的."
@greatestmoment,椅子找到很好的老婆，很會看人也很幸運，雖然去進修了但你是幸運的人，要珍惜啊！
@Freeven,"Toyz真是找到一個好伴侶
乃哥肯義氣相挺也讓人佩服"
@張雅婷123,看到YT推薦的時候還以為自己看錯...這也太扯，竟然連在出國深造中都還能繼續...偷椅子你是鬼吧！
@Yegor-520,"看得出來筱崎泫很用心在幫Toyz經營他的事業,也是改變Toyz的人"
@darkbright8790,太震撼了，竟然是乃哥7嫂真的是椅子人生和事業中的MVP，不離不棄，流量王是上輩子拯救了地球嗎
@daibau1216,乃哥太挺了吧 篠崎泫真的是完美的另一半 椅子哥要好好把握啊
@votary531,"讚是給小7的，我覺得好的人比好的餐廳更難找，
希望toyz好好珍惜小7，祝妳們眷屬總成有情人，

農曆年前會找一天去吃，
開箱還蠻吸引人的，希望味道別歪掉，
至少撐到toyz還陽？"
@maomao4992,乃哥也是重情重義   竟然在椅子進去後還幫他站台   筱崎也是 孤軍奮戰 不離不棄 脫椅子就算進去了 依然是相當成功的人士
@緣來自有機,乃哥一個人主持 真的很厲害 很夠義氣 toyz 真的是流量鬼才 期待新片
@安-h4d,20:39 幹最後聽到椅子那個聲音 為什麼我燃起來了啊！！！！
@beyondLu,謝謝老闆娘持續更新，很久沒看到椅子開台亂想他的，在找時間下去吃鍋寫情書給他。
@davidhsieh1991,"椅子把畢生的幸運都拿去遇見賢內助了，
希望兩位能長長久久一直下去"
@kobayashi1208,乃哥感動啊，看到還有人挺小劉真的很感動而且還是我愛的老牌主持人
@leonis4336,21:09 聽到TOYZ聲音 雞皮疙瘩都起來了
@chen8835,"超級同意乃哥建議  乾鍋客人吃到差不多  再請人員來加湯 或者可以直接送一壺配桌 客人自己看時機加入高湯

然後TOYZ說好吃 那就是真的好吃 說難吃那就是真的難吃!! 狗都不吃!!"
@DarkHades,椅子哥竟然能找到乃哥繼續輸出
@Yungyu221,Toyz 真的運氣很好，有這樣的女友，不得不說頭腦很好，真的用在對的地方，絕對風生水起。
@ZhenyiChen-qc5hp,敲碗等椅子出來再介紹一次 這火鍋看起來真的頂 希望不要生意太好就讓味道跑掉 有機會去台中真的要來試試看
@alsdfnghoas,Toyz真的是行銷鬼才，連人在裡面蹲還能幫火鍋店行銷。只能說很佩服，不管做什麼都這麼認真。
@王大陽-w3j,椅子在裡面都在認真寫腳本 別人是坐牢 他是在勞作
@人豪-b4y,"12:12 有夠好笑
最後還有椅子的聲音 很感動"
@CH-kw4qw,最後出現椅子的聲音 真的起雞皮疙瘩 太感動了
@趙立堯-x9g,乃哥人還是不錯的 雖然輸不起拌麵被椅子說「聞著香吃著無味」但還是很認真的幫他宣傳
@唯崴,進去蹲一陣子之後，除了出自白讓大家想起toyz，還趁這波請乃哥拍公道伯，只能說確實厲害
@吳庭煒,靠不是，看完這影片，才真的意識到我好想Toyz
@user-a1108,想椅子了啦，小七炫一定是一個好老婆的，希望椅子快點出來，重新出發
@肥貓-b5y,我看到了，台北什麼時候要開?不然我就還得跑到台中才吃的到...喝過19茶屋，我知道TOYZ對產品是非常要求用心的，所以這火鍋我相信吃起來也是很頂級的味道。
@nmsl2431,"坦白說乃哥說話沒有說服力
但椅子還是流量之王所以給讚"
@Jack_Hsu,還得是你啊，看了乃哥的介紹，喜歡火鍋的我，一定找時間去捧場，恭喜椅子哥完成十年夢想
@阿媒,"現在是監獄的放風時間，許多「同學」都趁機在戶外伸展筋骨、放鬆心情。天氣越來越冷了，在監獄中自然也開始鬱卒起來，唯獨一名囚犯，他盤腿坐在冰冷的水泥地上。眼睛只是閉著，全神貫注。

「你在幹嘛？打球啊？」同學問話了，並拿出以報紙揉製的棒球。

「我在看影片，我的影片昨天上架了。」他眼睛緊閉不張。
「什麼啊？大家，Toyz瘋了。」同學回應。

眾人失笑，然而，見Toyz在戶外打坐直到  秒，他也笑了一聲，隨後便站起身。並加入打球的行列。

「你看完影片了嗎？」同學又問，語帶譏諷。
「我睡覺前再看就好」Toyz笑回「我知道她會把一切做得很好。」"
@毛毛-j7t,"太狠了...從小看到大的乃哥我不覺得乃哥會為了錢做這種事,代表是真的好吃!
,再來有這女友的扶持,加上前一支的懺悔影片,絕了真的絕了,過半年我一個老粉 真的不能不佩服這一系列的操作,總之期待椅子回來"
@阿諾史瓦辛格-p5t,我朋友是椅子的隔壁舍友，朋友說他在裡面可爽了，因為他有知名度、也很大方，所以人緣非常好
@gemini1773,"椅子真的流量鬼才 太扯啦 
乃哥不愧主持人 超會形容"
@尼克星直播精華w,椅子哥來了！！！
@GeneYang001,"Toyz啊
篠崎泫這種女孩真是打燈籠也找不到
你真的是撿到寶啊你
深造完也要記得好好走下去
不要辜負這麼好的女孩啊"
@3dsMax876,"被乃哥吃起來
看起來超好吃的
冷冷天吃火鍋就是讚
希望椅子將來出來時
千萬要好好重新做人"
@秋海堂-d8r,太猛了 永遠支持toyz
@kenken2915,先不論toyz的風風雨雨，但就公道伯系列他真的很有才，喜歡，至少他的店都是可評，可錄影，可改進
@ouo2559,乃哥主持過節目真的有差，比起其他YouTuber ，台風穩到靠北，如果toyz出來後可以跟乃哥來個夢幻聯動就好了～
@lindinioian,有時候很羨慕toyz的腦袋、想法、行動力...要跟他學習好的地方!! 期待他深造回來
@Iris-cz7tg,每隔一段時間就有ig貼文或yt影片，感覺椅子一直跟我們在一起呢！
@KevinWangIsTheMan,哇靠連坐牢都能找到藝人來做公道伯，不愧是能讓統神當自己的狗的Toyz～
@劉丞育-v6c,"椅子開的餐廳品質肯定沒話講
乃哥講的的確也都很實在"
@mu10366,雖然還沒吃到 但是看外觀就挺好吃的感覺 剩下要去實店吃看看才知道了 加油toyz
@mysterydawn3825,這次換我來公道，雖然椅子哥您真的做了蠻多破格的事，但唯一不變的是我對你得喜歡，沒你做效果的日子，我活得很難受，希望您好好修行，出來好好繼續締造您的流量之路，還有筱崎泫是個好女孩，不要再辜負人家了 (說規說，到時候我去公道的時候如果太難吃我直接負評嘻嘻
@nxp1202,椅子真的是很有福氣
@我愛台灣不爽憋著-_-zzz,"太意外了。
事實證明⋯椅子就算深造去了、還是完成館腸。
費用呢？費用大約多少呢？"
@yuyheero1208,乃哥跟小7真的很用心在評論跟介紹，toyz開始了！
@tanozengs,有篠崎泫這樣的女友時刻牽掛奔走，在外面打點好大小事，椅子真的是幾生修來好福氣，祝福火鍋店生意興隆！
@Maiyengiialiu,看完影片後，Toyz之後真的不能虧待篠崎泫
@廖柏勝-z4t,太猛了椅子哥
@dododo760,看到Toyz現在還有一群朋友在他面對難關的時候也不離不棄其實還蠻感動的，希望Toyz 出來後能好好對待他們
@neilsonlin6842,加油啊椅子你上輩子不知道拯救幾次世界了，這麼多人願意幫你，還找到一個好女人，這次出來該學會知足了吧
@穎呈林,期待toyz深造出來繼續帶給我們歡樂
@changallen3405,"乃哥真的超讚
篠崎是個真誠的好女孩
希望椅子出來以後痛改前非好好做人"
@power030,看來椅子很敬老尊賢
@younoobhahaha,都已經被敵方打回溫泉還能持續輸出，太神啦Toyz
@roy8200-l,只有toyz的影片我1秒也不會快跳，由頭看到完
@葉定哲,這種老婆真的找不到了 糟糠之妻 不可棄 希望椅子大哥 出來可以好好珍惜
@kemi7019,來了 椅子哥 終於開幕了
@朱昱誠-n3z,唯一只服 Toyz
@mamcy195121,2:25 Toyz 罌粟小子
@蔡子-n4m,"想看""TOYZ""盲測這間，他絕對噴爛
(你看看這一盤就要一百元，重點還很難吃，做的好吃我還願意買單)
事後再說是鍋癮子他會怎樣呢?哈哈"
@kf057568,小七真的要多上片啦～直播水個信件也好，聊聊toyz的近況也好，我們也很想toyz。
@halen3245,我光看環境跟菜色擺盤 絕對不輸外面大企業火鍋店 有人說到乃哥很業配的感覺 我覺得沒有他只是把他所吃到的感覺呈現出來 ，還有椅子哥在你不在外面的這些日子裡都沒有搞笑影片可以看快點出來等你復出的那天，加油希望兩人堅持住，一定有很好的未來。
@吳直育,椅子快出來吧！！少了你人生少了個味
@紅髮-t7x,還在輸出!!!!不愧是我大TOYZ  沒你的YT  真的找不到主播看了 .....
@softbank170,"椅子你出來不管跟小7未來如何，真的不要辜負小7！！！
你那些罪我相信你是小時候窮到財迷心竅，但辜負了這樣逆風跟你在一起的女孩子真的就死透了！"
@STAR_WARS9,TOYZ的影片又能配晚餐吃了!
@wool3777,"8:02連講話的口吻都像Toyz
不愧是老闆娘"
@胡說亂語,"Toyz 開火鍋店，猜一句諺語：
「嚴以律人，寬以待己」"
@nmchen,有這樣的女朋友真的是toyz的福氣＋1
@brianhello6174,"希望椅子出來以後不要再犯錯了
還是很多人挺 給機會 不要辜負這麼多人的疼惜

謝謝乃哥跟篠崎泫"
@蹦蹦-z2j,看得出來椅子是有認真想要把這些，鍋底啊口味啊完整的呈現給大家，而且想要做到最好，對比那個超派只想用自己名字開店，就以為可以有大筆收入的心態是不一樣的
@LouisLam-ry4fo,"這間的食物感覺好像集合香港百家之大成... 
加油呀  椅子 椅嫂!
PS:香港人"
@ElrondLin,"我是不喜歡乃哥啦

不過toyz真行耶
人在獄中還能兌現開店諾言

反觀某個只會吹牛的肌肉腦"
@takamori382,"一定會去試試看的
TOYZ嘴那麼刁 肯定不會差到哪去
要好好對嫂子 願意等的女孩不多了"
@RB-zk2vo,佩服，Toyz真的很有才
@z8684197,椅子哥 太神拉
@張志成-l8d,懷念椅子哥的效果
@王威展,"我只能說
我好想你喔椅子
我們的流量人"
@10部片內100訂閱挑戰中,椅子加油 等你出來再帶給大家歡樂
@黃哈哈-l7s,椅子的店 我們當然要去朝聖一下啦
@Sam-g3y6o,節奏沒有toyz拍得好 但是有女友還是給個讚!
@克拉克-e1y,乃哥太狂了 親民!!!! Toyz應該真的有挺到乃哥
@gaki1218,乃哥、筱崎泫超挺！TOYZ要好好珍惜。
@吳子瑨-i4u,小7的肢體動作 我彷彿看到了椅子
@das0654,椅子太神拉
@burjack888,得此所妻，夫復何求。希望以後Toyz和各位老闆都能好好的。
@巴麻美-u3q,偷椅子你小心了  說得好妙 ~很會
@魚介-t7p,我彷彿能看到椅子二式20年後拳上力量人的畫面
@wo5828,給椅子評語就三個子 牛逼！
@OwOray-z3i,謝筱乃這麼挺椅子 椅子相信筱絕對能夠齁住 椅絕對不能忘記筱 雖然她身材不小頂到底！
@月-v7s,椅子哥加油 好吃大家要來喔
@許大寶-u2l,乃哥真的很講義氣 沒記錯乃哥跟TOYZ應該是打牌認識的
@tyoc_fhk,TOYZ飲料店真的好喝，開火鍋真的好想吃吃看
@joyishhh,椅子出來以後一定有他的位置，不管在何地
@alice-nx8go,嚇到我了，我還以為椅子早就出來，結果現在才知道，原來是乃哥阿~~~
@winterleung1411,我個人認為椅子你定這價位不能給這種品項的餐點，要不然你套餐裡的前菜開胃菜真的要做一些特別的Fusion菜，而且港式我就會期待希抓醃過有點厚度Q度的滑牛，不然真的對不太起這價位跟期待
@峰人院,看來TOYZ真的很了解怎麼跟乃哥交流 當初節目打麻將有點嗆我以為乃哥會不爽.真的是人才
@axe79979,支持乃哥！ 期待Toyz出來跟統神拳上
@忘記寫字,太鬼了拖椅子
@ranjack061,本來不太喜歡小7 但看到她對椅子不離不棄 我沒辦法不喜歡
@點點點-k7x,火鍋代言請到乃哥，飲料代言請到沈玉琳  看來椅子在台灣的背景有了，這些餐點跟餐廳氛圍裝潢 都是超派做不到的  超派的裝潢明顯看起來就是割韭菜 隨時準備倒閉 所以不要太重本的裝潢
@AlphaStudioFM528,完全沒料到乃哥會跟Toyz會有交集...好啦我去ㄘ看看
@din5200,不得不說椅子真的鬼才
@as811501,我們椅子哥還知道 要在蹦闆被燒的時候趕快出影片滅火
@xiang3829,看起來菜品樣色是不錯 不過綜合價錢及其他嚐鮮過的評價 好像也是一次店餒椅子哥
@ansonchiu3857,小超大概永遠都學不會椅子的流量大招～
@許芷嘉-t5y,"認真說 依照toyz以前對美食的執著 先不要說 愛上 , 第一次 的機會我是願意給的
願意從台北前往台中嘗鮮!"
@zoechen6666,很像父女~畫面是舒服的 有皇副小奇炫撐腰 加油 toyz出來後 要好好做人阿
@kleinS5477,TOYZ真的有夠厲害
@SHHsu-ie3bz,"雖然不看好TOYZ會改變 畢竟是經過多年認證的死性不改 但食物如果真的好吃 會去試一下 多少還是因為乃哥的面子
過了幾天 看了幾個YT評測 果然是不出所料 沒意外地翻車了 好險還沒去吃..乃哥 抱歉了"
@molly420o,最後聽到椅子的聲音突然有點感傷 想你了啦椅子哥
@河河河-w5w,"結果完全沒噴自己幫自己業配
真有你的toyz"
@魏大師-i8t,牛逼椅子
@azsx744442,太狠了TOYZ有機會一定拜訪
@JoweeFPS,椅子要珍惜嫂子阿!
@eciohc75,"椅子哥還在輸出，魔鬥都擋不了球女1捲5嗎？
TPA造型應該要叫次元魔女之類的吧
撇除私德，他的工作能力真的封頂"
@stevenfang8257,椅子只要不走偏不做壞 其實真的很有前途
@Royz107-stant,請問椅子是不是在1年半就出獄了？ 出獄是不是就強制遣回香港？
@不想當社畜の海鹽咖啡,拋開很多東西不談 椅子真的猛
@阿才-f1x,"反正椅子說難吃的我不會去
但他說好吃的我也不會去XD


畢竟他說劉山東好吃..."
@Farland,Toyz 真的跟鬼一樣…在我快忘記你的時候影片就這樣跳出來了，希望還有更多驚喜，也希望你早點回來
@朱可夫很喜歡看迷因,"椅子出來可以開在台北嗎
看了好餓 好想吃"
@camel180,愛椅子哥
@許德勝-n6p,謝謝小7 謝謝乃 愛椅子
@樂-g8mo,還得是你啊toyz
@鄭智穎,三對三籃球過椅子，話說地址在哪？裡面有但忘記了，只好查MAP，TOYZ的店一定要去吃一次
@孤兒凱倫,真的太屌了 my goat toyz
@maximuschen,都弄成這樣，祝生意興隆，TOYZ早點假釋出來，跟篠崎泫結婚啦，根落台灣!!
@jyt9146,"原來toyz 進去吃科學麵拌飯,是要淨化舌頭,才能調整出好吃的味道"
@九尾妖媚阿狸,toyz太强了吧
@vicheng826,"Toyz不是刑期4年多, 現在還能開新店?"
@Wuu777,20:40 想念拖椅子了
@post910041,椅子在裡面是一直在構思新的企畫是嗎..
@鴻胤李,處處沒有拖椅子，但處處都是拖椅子
@小孩-s2s,"4小时 要20万 还得是我椅子哥
流量鬼才"
@dorp1000,toyz根本可以打電不的不佩服toyz得頭腦不佩服toyz得頭腦
@子翔-h3b,太狠了 toyz想你了
@羅莎穎-s8g,"想念椅子了
沒有他的直播真的好無聊了"
@o0110340o,不愧是toyz在溫泉也用死歌唱大決放招.....
@evanli951,挺 一定去 想椅子哥了
@kabilapxi,toyz，我還在等你，好想你
@黃朝瑋-l3h,YouTuber還是不能缺席椅子這樣的人才
@triste5469,罌粟醬 確定這不是在酸椅子嗎
@zoechen6666,TOYZ會不會太猛 又不是宇志波 鼬 死後還能盤算未來會發生的事 而先計畫好
@zhekyung4215,還得是你啊椅子
@liltothej2456,如果Toyz關出來 沒娶這女生 我看不起你
@cn436,椅子哪怕再泡溫泉也依然還在輸出阿
@57rrred,太神了 深造還能賺流量 愛椅子
@鯉林,"toyz出來之後還是好好做人吧
別再搞東搞西的
你出事還這麼多人願意站在你身邊 真的要珍惜"
@CWL-pp6dv,乃哥一夫當關，嘴賤的就要留一口，Toyz 這一招高明 
@jake44430397,"還得是你啊 椅子哥
解師傅都能這麼推 要怎麼不服你"
@w960310,雖然現在很討厭toyz    但是食材真的吊打黃伯超太多
@bear.0303,永支豬豬寶貝 永支拖椅子 永支鍋癮子
@黃義翔-o9j,toyz
@吳佳霖-q7x,說難吃會被拿椅子打嗎
@AlshaBlacktea,椅子想你了
@彥翔彭-i2b,想問一下懂法律的朋友，椅子在台灣經營事業又有老婆，那這樣出獄被遣返只能靠老婆經營了?
@哭阿-d8o,想你了椅子
@阿汶-p1f,toyz 的确有实力 . 人在监狱 视频却能更新 不想某些人
@367kkk,小琦鉉都要長蜘蛛網了 抱歉了拖椅子
@wenliangzeng4726,我猜一定有人說 啊乃哥怎麼跑去toyz那邊 不關注了
@verdantash,TOYZ真的很怕出來後被台灣人忘記
@吳克祥-r6k,"椅子死了都還能發電
這個火鍋不參點大麻我是不吃的"
@David_Cheng,椅子~要珍惜身邊的一切，在裡面好好反省改錯，不要再玩火自焚了!!!等你出來，希望不要遣返回港，好好改過自新
@w960310,椅子還在輸出
@爽文小說男主,"2028年toyz出獄簽到處
｜
｜"
@lyuyusin9561,TOYZ在監獄還能輸出阿
@明憲-q2x,想椅子了
@瞇眯眼,這女生很棒~感覺Toyz配不太上ㄊ
@Hello234-c7i,Toyz夠備片到出獄嗎 有沒有坐過的朋友知道在裡頭沒犯事 是不是假釋一定通過
@小心眼-m3f,好吃打好吃 不好吃打toyz
@jeffhu6489,乃哥欠椅子多少錢
@HarlanLi,Toyz 火鍋 vs 統神端火鍋
@user-ul5er1pg4c,"椅子很扯耶
人在監獄影片還能上發燒"
@魏慈恩-p1n,很多YT頻道的開箱評價都沒有很好，蠻多地方需要改進，Toyz會問筱崎泫營運狀態嗎？
@baseball20181,TOYZ真的好命啊!! 有這款女友是要累積多少世代的陰德啊???
@qoozxc5,看得我覺得好尬　還是等椅子自己出來公道自己的店好了
@ccccl1478,篠崎泫真是個很努力的笨女人，希望toyz真的會珍惜你
@aryG-i3q,為甚麼是為甚麼是用toyz帳號發
@長髮公主1c1,椅子快出來，沒你好無聊
@kevin-in7yh,椅子超神 不像還有隻豬持續在賴皮
@伊歐勒斯,Toyz何德何能?
@userjames1214,希望toyz出來可以重新做人，看得出您的誠意。只是那個醬看起來有點麻味
@好好休息啦,不懂乃哥身份 怎麼會想幫椅子這種人....？？？？？
@americanprimeval,超猛 還在輸出 椅子還在輸出 先是讓童神在賽場輸給 89，又被89打頭 雙重天罰 一天輸兩次 回力鏢 接好囉 童粉 以前怎麼說椅子活該的 現在童神也是活該w 被巴頭的鳥樣還有童粉悲憤的樣子，媒體上都看著一清二楚，謝謝你們童粉被巴頭，還來幫椅子增加點閱率w 但是增加完點閱就可以滾了
