username,comment
,"試營運期間，只接受電話預約
12月31日跨年當天，延長營業時間至凌晨2點
新年1月1日營業時間調整成：11:00-24:00
菜單在IG精選動態有

提醒各位，我們份量偏多，期間限定的Toyz套餐也是4人份喔~建議大家以4-6人以上用餐會比較合適喔～
目前多為2人訂位，我們也是安排在4人座位（我們沒設定2人或單獨座位）

用餐當日前還能更改人數
建議多加兩位友人一起吃比較划算、也比較不會吃不完喔"
@左祖源,乃哥真的有情有義，之前也有跟椅子在麻將節目有認識，他女友也是演藝圈有認識，真的是提攜照顧後輩
@jiamingxie7454,有這樣的女朋友真的是toyz的福氣…  希望他們能長長久久
@一路噴,"椅子真的很厲害，規劃安排也很可以。
細心規劃、進去進修了還設想周到、創意、與眾不同、獨樹一格、包含反饋、傾聽、設計、安排、以及筱崎泫願意全新幫助，看來感情很深阿！
重點被關還要試菜，真的很用心。
不管是為了流量還是批評其他人或是自己代言或開的任何店，都很佩服清晰邏輯、思考、以及帶話題的能力，重點是不做作、敢講、並勇於做到
希望有天能成為相同，抓住市場邏輯的人"
@TheAmecharhythm0905,"完全對乃哥改觀了，乃哥超讚
同時也感嘆椅子找到好賢慧的老闆娘！兩位根本天作之合、郎才女貌
也繼續等待椅子的復出…"
@何小樂-v9f,椅子 你真的很屌！！ 再這樣的條件下 還能創造流量，讓另一半一起扶持成長，你真的很棒！！ 小7 也把青春跟幸福押在你手上了，你們小倆口好好加油 祝福你們 生意興隆 平安喜樂
@葉定哲,椅子大哥最大的收穫就是獲得這樣如此不離不棄的老婆
@王小乖-e8g,椅子落難 嫂子不離不棄 給個讚
@沈默維尼,香港雞煲是真的很好吃，我之前在香港住了快十年… 在香港唯一會一而再去吃的就是雞煲，回到台灣都好懷念… 但在台灣都找不到，所以我都是自己上網買雞煲醬回來煮… 終於 有專門的雞煲鍋（可惜不在台北，希望台北也能趕快開分店）而且 乃哥說的沒錯！其實在香港吃雞煲也是肉吃到差不多才會加湯的！而 花膠也是香港人必備，我前婆婆每週都會用花膠煲湯… （雞湯、魚湯…）哇… 好懷念，好想趕快去嚐嚐 最後 祝椅子的鍋癮子生意興隆！希望toyz出國深造完後一定要好好重新做人，不要虧待小七！一個女人願意在你這種鳥局面還不顧一切官宣認愛、跳出來相挺，真的是很有勇氣！而 依toyz的才能真的是可以拼出一番作為！不要再讓大家失望了！雖然台灣人健忘、容忍度很高，但也不是傻… 加油祝福️
@Rui-gp5pp,"真是有心了，就為了口味尚未通過椅子的確認，延後開幕近半年，人事與租金成本這樣燒...這份堅持希望全體員工與主廚能也把這份堅持下去，不要因日後食材或其他成本去破壞的初衷
(看過太多加盟火鍋店，有的加盟主很快回本，有的五年房租約到還在賠)
例香菜一斤破800時候有的老闆早就沒叫貨了
高麗菜貴的時候用進口的~吵沒生意
有的老闆一斤1000醬料吧檯照擺一樣不怕客人吃~
堅持用初秋高麗一樣客滿~不怕客人吃的堅持是做吃的基本
成本高甘願天天客滿沒賺錢也不要沒客人賠錢!!
季節過了就補回來了"
